date,symbol,dps_local,source_currency,dps_krw
2019-06-25,WFG,0.152,USD,175.175435546875
2019-06-27,000150.KS,1434.8691,KRW,1434.8691
2019-06-27,005380.KS,1000.0,KRW,1000.0
2019-06-27,005490.KQ,2000.0,KRW,2000.0
2019-06-27,010950.KS,100.0,KRW,100.0
2019-06-27,012330.KS,1000.0,KRW,1000.0
2019-07-04,002714.SZ,0.021008,CNY,4.538442200195313
2019-08-01,SXT,0.36,USD,427.07162109374997
2019-08-14,LLY,0.645,USD,777.0508374023437
2019-08-21,CAMT,0.17,USD,204.89760498046877
2019-08-29,EAF,0.85,USD,1029.6644958496092
2019-08-29,GLW,0.2,USD,242.2739990234375
2019-09-05,BAC,0.18,USD,216.484189453125
2019-09-09,STNG,0.1,USD,119.16199951171876
2019-09-19,TSM,0.322,USD,383.03511572265626
2019-09-25,GTT.PA,1.5,EUR,1972.3500366210938
2019-09-27,000150.KS,1434.8691,KRW,1434.8691
2019-09-27,005490.KQ,2000.0,KRW,2000.0
2019-09-27,4680.T,3.333333,JPY,37.07666344219494
2019-09-27,6857.T,10.25,JPY,114.01075148582458
2019-09-27,WFG,0.151,USD,180.99313073730468
2019-10-03,LEVI,0.15,USD,180.53549194335938
2019-11-01,SXT,0.39,USD,455.73451904296877
2019-11-14,GLW,0.2,USD,233.9719970703125
2019-11-14,LLY,0.645,USD,754.5596905517579
2019-11-18,TS,0.26,USD,302.2057885742188
2019-11-22,STNG,0.1,USD,117.522998046875
2019-11-27,EAF,0.85,USD,996.7099792480468
2019-11-29,SBLK,0.05,USD,58.850500488281256
2019-12-05,BAC,0.18,USD,214.10279296874998
2019-12-19,TSM,0.41,USD,477.3875939941406
2019-12-24,WFG,0.152,USD,176.5586318359375
2019-12-27,000150.KS,1300.0,KRW,1300.0
2019-12-27,000210.KQ,2929.8152,KRW,2929.8152
2019-12-27,000640.KS,942.5959,KRW,942.5959
2019-12-27,000660.KS,1000.0,KRW,1000.0
2019-12-27,001040.KS,1850.0,KRW,1850.0
2019-12-27,001060.KS,291.58926,KRW,291.58926
2019-12-27,001120.KS,300.0,KRW,300.0
2019-12-27,003030.KQ,1500.0,KRW,1500.0
2019-12-27,004020.KS,750.0,KRW,750.0
2019-12-27,004250.KS,100.0,KRW,100.0
2019-12-27,005290.KS,90.0,KRW,90.0
2019-12-27,005380.KS,3000.0,KRW,3000.0
