report_id,page,ordinal,publication_date,title,company,ticker,exchange,symbol,pdf_filename,pdf_url,report_current_price,bear_target,base_target,bull_target,target_price_local,target_price,target_currency,price_currency,display_currency,markdown_filename,report_current_price_krw,bear_target_krw,base_target_krw,bull_target_krw,target_price_krw
59b90dfb7d5641ef,18,12,2020-10-31,"Equity Research, 이지바이오",이지바이오,353810,KRX,353810.KQ,2020-10-31_equity-research-이지바이오.pdf,http://snusmic.com/wp-content/uploads/2020/11/201031_이지바이오_5팀.pdf,77000.0,,103500.0,,103500.0,103500.0,KRW,KRW,KRW,2020-10-31_equity-research-이지바이오.md,5379.9462890625,,103500.0,,103500.0
76e6c5c4df0262a0,18,10,2020-12-05,"Equity Research, Bili bili",Bili bili,075580,KRX,075580.KQ,2020-12-05_equity-research-bili-bili.pdf,http://snusmic.com/wp-content/uploads/2020/12/201124_BilibiliUS_BILI_2팀.pdf,45.9,,72.95,,72.95,72.95,KRW,KRW,KRW,2020-12-05_equity-research-bili-bili.md,6460.0,,72.95,,72.95
9a165b6986c1fddc,18,11,2020-12-05,"Equity Research, Chewy",Chewy,CHWY,NYSE,CHWY,2020-12-05_equity-research-chewy.pdf,http://snusmic.com/wp-content/uploads/2020/12/201124_Chewy_1팀.pdf,63.36,25.05,38.325,51.6,38.325,41824.83694152832,USD,USD,KRW,2020-12-05_equity-research-chewy.md,81045.06926784664,27337.564654541016,41824.83694152832,56312.10922851563,41824.83694152832
a03492ab99895d57,18,7,2020-12-05,"Equity Research, Gaztransport&technigaz",Gaztransport&technigaz,GTT,EPA,GTT.PA,2020-12-05_equity-research-gaztransporttechnigaz-2.pdf,http://snusmic.com/wp-content/uploads/2020/12/201124__Gaztransporttechnigaz-_5팀.pdf,80.7,,114.45,,114.45,124901.5678527832,USD,EUR,KRW,2020-12-05_equity-research-gaztransporttechnigaz-2.md,105191.1168224793,,124901.5678527832,,124901.5678527832
55ac978a2666f199,18,8,2020-12-05,"Equity Research, Roku",Roku,ROKU,NASDAQ,ROKU,2020-12-05_equity-research-roku.pdf,http://snusmic.com/wp-content/uploads/2020/12/201124_Roku_4팀.pdf,230.0,,327.62,,327.62,357538.24080322264,USD,USD,KRW,2020-12-05_equity-research-roku.md,325112.3450952396,,357538.24080322264,,357538.24080322264
edc4f6dd982b49bd,18,9,2020-12-05,"Equity Research, SEA ltd.",SEA ltd.,SE,NYSE,SE,2020-12-05_equity-research-sea-ltd.pdf,http://snusmic.com/wp-content/uploads/2020/12/201124_SEA_ltd_3팀.pdf,183.11,,290.8,,290.8,317355.8403808594,USD,USD,KRW,2020-12-05_equity-research-sea-ltd.md,215206.20835532248,,317355.8403808594,,317355.8403808594
82c3bf6e1f3e7c42,18,3,2021-01-16,"Equity Research, 대한유화",대한유화,006650,KRX,006650.KQ,2021-01-16_equity-research-대한유화-3.pdf,http://snusmic.com/wp-content/uploads/2021/01/201128_대한유화_4팀.pdf,250000.0,,394500.0,,394500.0,394500.0,KRW,KRW,KRW,2021-01-16_equity-research-대한유화-3.md,272500.0,,394500.0,,394500.0
253b8e75c7567f4b,18,4,2021-01-16,"Equity Research, 한화솔루션",한화솔루션,009380,KRX,009380.KS,2021-01-16_equity-research-한화솔루션.pdf,http://snusmic.com/wp-content/uploads/2021/01/201128_한화솔루션_3팀.pdf,49350.0,,60700.0,,60700.0,60700.0,KRW,KRW,KRW,2021-01-16_equity-research-한화솔루션.md,49350.0,,60700.0,,60700.0
b69f21bff7ad44c1,18,2,2021-01-16,"Equity Research, 하나머티리얼즈",하나머티리얼즈,166090,KRX,166090.KS,2021-01-16_equity-research-하나머티리얼즈.pdf,http://snusmic.com/wp-content/uploads/2021/01/201128_하나머티리얼즈_5팀.pdf,24900.0,,40400.0,,40400.0,40400.0,KRW,KRW,KRW,2021-01-16_equity-research-하나머티리얼즈.md,31050.0,,40400.0,,40400.0
d66133ea9645576b,18,6,2021-01-16,"Equity Research, 파이오링크",파이오링크,170790,KRX,170790.KQ,2021-01-16_equity-research-gaztransporttechnigaz.pdf,http://snusmic.com/wp-content/uploads/2021/01/201128_파이오링크_1팀.pdf,14750.0,,20400.0,,20400.0,20400.0,KRW,KRW,KRW,2021-01-16_equity-research-gaztransporttechnigaz.md,12500.0,,20400.0,,20400.0
50a5d12836a434b6,18,5,2021-01-16,"Equity Research, 노바텍",노바텍,285490,KRX,285490.KQ,2021-01-16_equity-research-노바텍.pdf,http://snusmic.com/wp-content/uploads/2021/01/201128_노바텍_2팀.pdf,60300.0,,139200.0,,139200.0,139200.0,KRW,KRW,KRW,2021-01-16_equity-research-노바텍.md,36809.5234375,,139200.0,,139200.0
84c3e874e910969e,17,12,2021-04-15,"Equity Research,  쌍용C&E",쌍용C&E,003410,KRX,003410.KS,2021-04-15_equity-research-쌍용ce.pdf,http://snusmic.com/wp-content/uploads/2021/04/21_1_1주차_보고서_쌍용CE-1.pdf,7560.0,,10000.0,10000.0,10000.0,10000.0,KRW,KRW,KRW,2021-04-15_equity-research-쌍용ce.md,7560.0,,10000.0,10000.0,10000.0
a628524275ff7011,18,1,2021-04-15,"Equity Research, 현대제철",현대제철,004020,KRX,004020.KS,2021-04-15_10537-2.pdf,http://snusmic.com/wp-content/uploads/2021/04/21-1-1주차-보고서_1팀-현대제철-1.pdf,50600.0,,93800.0,,93800.0,93800.0,KRW,KRW,KRW,2021-04-15_10537-2.md,49500.0,,93800.0,,93800.0
43912f9d0c0e2aa5,17,10,2021-04-15,"Equity Research, 국도화학",국도화학,007690,KRX,007690.KS,2021-04-15_equity-research-국도화학-2.pdf,http://snusmic.com/wp-content/uploads/2021/04/21_1_1주차_보고서_4팀_국도화학.pdf,73100.0,,146000.0,,146000.0,146000.0,KRW,KRW,KRW,2021-04-15_equity-research-국도화학-2.md,61268.0546875,,146000.0,,146000.0
c8f7536db93ac8dd,17,11,2021-04-15,"Equity Research, 대림제지",대림제지,017650,KRX,017650.KS,2021-04-15_equity-research-대림제지-2.pdf,http://snusmic.com/wp-content/uploads/2021/04/21_1_1주차_보고서_3팀_대림제지.pdf,13800.0,,21500.0,,21500.0,21500.0,KRW,KRW,KRW,2021-04-15_equity-research-대림제지-2.md,15100.0,,21500.0,,21500.0
a5efd69fd18189a1,17,9,2021-04-15,"Equity Research, 인선이엔티",인선이엔티,060150,KRX,060150.KS,2021-04-15_equity-research-인선이엔티-2.pdf,http://snusmic.com/wp-content/uploads/2021/04/21_1_1주차_보고서_5팀_인선이엔티.pdf,14500.0,,21750.0,,21750.0,21750.0,KRW,KRW,KRW,2021-04-15_equity-research-인선이엔티-2.md,14600.0,,21750.0,,21750.0
10d2be6fbd7b4f7d,17,7,2021-05-06,"Equity Research, 쿠쿠홈시스",쿠쿠홈시스,003410,KRX,003410.KS,2021-05-06_equity-research-쿠쿠홈시스.pdf,http://snusmic.com/wp-content/uploads/2021/05/21-1-2주차-보고서_2팀-쿠쿠홈시스-수정.pdf,42200.0,,66500.0,,66500.0,66500.0,KRW,KRW,KRW,2021-05-06_equity-research-쿠쿠홈시스.md,42200.0,,66500.0,,66500.0
50495069426a38f7,17,5,2021-05-06,"Equity Research, 바이넥스",바이넥스,053030,KRX,053030.KS,2021-05-06_equity-research-바이넥스.pdf,http://snusmic.com/wp-content/uploads/2021/05/21-1-2주차-보고서_5팀-바이넥스-수정.pdf,28950.0,,43750.0,,43750.0,43750.0,KRW,KRW,KRW,2021-05-06_equity-research-바이넥스.md,24400.0,,43750.0,,43750.0
35462e77a5d6dc29,17,6,2021-05-06,"Equity Research, 데브시스터즈",데브시스터즈,194480,KRX,194480.KS,2021-05-06_equity-research-데브시스터즈.pdf,http://snusmic.com/wp-content/uploads/2021/05/21_1_2주차_보고서_4팀_데브시스터즈.pdf,114100.0,,198000.0,,198000.0,198000.0,KRW,KRW,KRW,2021-05-06_equity-research-데브시스터즈.md,108600.0,,198000.0,,198000.0
3e16e32ee5f710fd,17,4,2021-05-06,"Equity Research, 솔루엠",솔루엠,248070,KRX,248070.KS,2021-05-06_equity-research-솔루엠.pdf,http://snusmic.com/wp-content/uploads/2021/05/21_1_2주차_수정보고서_3팀_솔루엠.pdf,25050.0,,36900.0,,36900.0,36900.0,KRW,KRW,KRW,2021-05-06_equity-research-솔루엠.md,24500.0,,36900.0,,36900.0
63f2f7b27a0408d9,17,8,2021-05-06,"Equity Research, 케이씨씨글라스",케이씨씨글라스,344820,KRX,344820.KS,2021-05-06_equity-research-케이씨씨글라스.pdf,http://snusmic.com/wp-content/uploads/2021/05/21_1_2주차_보고서_1팀_케이씨씨글라스-수정.pdf,59600.0,,108000.0,,108000.0,108000.0,KRW,KRW,KRW,2021-05-06_equity-research-케이씨씨글라스.md,63100.0,,108000.0,,108000.0
f0f6c8f41959e423,17,3,2021-05-31,"Equity Research, Cyber Agent",Cyber Agent,075580,KRX,075580.KQ,2021-05-31_equity-research-cyber-agent.pdf,http://snusmic.com/wp-content/uploads/2021/05/CyberAgent_Inc._TYO_4751_1팀.pdf,2099.0,3230.0,3610.0,3610.0,3610.0,3610.0,KRW,KRW,KRW,2021-05-31_equity-research-cyber-agent.md,6680.0,3230.0,3610.0,3610.0,3610.0
e9cda5ff0bbad783,16,12,2021-05-31,"Equity Research, Ping An Healthcare & Technology",Ping An Healthcare & Technology,1833,HKG,1833.HK,2021-05-31_equity-research-ping-an-healthcare-technology.pdf,http://snusmic.com/wp-content/uploads/2021/05/21_1_3주차_보고서_4팀_Ping_An_Healthcare.pdf,,,150.0,,150.0,21505.59539794922,HKD,HKD,KRW,2021-05-31_equity-research-ping-an-healthcare-technology.md,13061.064719588263,,21505.59539794922,,21505.59539794922
f0e7db4e2e4702b9,16,11,2021-05-31,"Equity Research, Corning",Corning,GLW,NYSE,GLW,2021-05-31_equity-research-corning.pdf,http://snusmic.com/wp-content/uploads/2021/05/21_1_3주차_수정보고서_5팀_Corning.pdf,43.56,,57.0,,57.0,63432.44860839844,USD,USD,KRW,2021-05-31_equity-research-corning.md,47732.97557543032,,63432.44860839844,,63432.44860839844
07a01dbdb1f9fa40,17,2,2021-05-31,"Equity Research, Star Bulk Carriers",Star Bulk Carriers,SBLK,NASDAQ,SBLK,2021-05-31_equity-research-star-bulk-carriers.pdf,http://snusmic.com/wp-content/uploads/2021/05/21_1_3주차_보고서_2팀_Star_Bulk_Carriers-1.pdf,21.5,,37.8,,37.8,42065.72907714843,USD,USD,KRW,2021-05-31_equity-research-star-bulk-carriers.md,22128.529556202702,,42065.72907714843,,42065.72907714843
265fce3c24f05038,17,1,2021-05-31,"Equity Research, West Fraser Timber. Co. Ltd",West Fraser Timber. Co. Ltd,WFG,NYSE,WFG,2021-05-31_equity-research-west-fraser-timber-co-ltd.pdf,http://snusmic.com/wp-content/uploads/2021/05/21_1_3주차_수정보고서_3팀_WFG.pdf,78.0,,137.0,,137.0,152460.44665527344,USD,USD,KRW,2021-05-31_equity-research-west-fraser-timber-co-ltd.md,85503.13132664189,,152460.44665527344,,152460.44665527344
c0b49a073d9057ee,16,7,2021-06-06,"Equity Research, 에스엘",에스엘,005850,KRX,005850.KS,2021-06-06_equity-research-에스엘.pdf,http://snusmic.com/wp-content/uploads/2021/06/21_1_4주차_수정보고서_4팀_에스엘.pdf,31200.0,,50000.0,,50000.0,50000.0,KRW,KRW,KRW,2021-06-06_equity-research-에스엘.md,35000.0,,50000.0,,50000.0
