rank,strategy_id,family,hit_basis,goal_hit,robust_goal_hit,annualized_sharpe,annualized_sortino_lpm0,annualized_sortino_downside_std,cagr,total_return,max_drawdown,ann_vol,days,split_2021_2023_sharpe,split_2021_2023_sortino_lpm0,split_2021_2023_sortino_downside_std,split_2024_2026_sharpe,split_2024_2026_sortino_lpm0,split_2024_2026_sortino_downside_std,params_summary
38,rotate_trail_sharpe_lb189_top2_score_pos,persona_rotation,Sortino(LPM0),True,False,1.5698977330128148,2.4117279864083097,1.9607909758149695,0.5446130475917685,10.175038902207866,-0.24040769270019746,0.3071788105121626,1399.0,1.1243395110030647,1.7186356971805514,1.4002898404966828,2.120268373844679,3.2732387813614094,2.6542489006756873,"family=persona_rotation, lookback=189, top_k=2, score=trail_sharpe, gate=score_pos"
39,rotate_trail_sharpe_lb189_top2_mom_pos,persona_rotation,Sortino(LPM0),True,False,1.5698977330128148,2.4117279864083097,1.9607909758149695,0.5446130475917685,10.175038902207866,-0.24040769270019746,0.3071788105121626,1399.0,1.1243395110030647,1.7186356971805514,1.4002898404966828,2.120268373844679,3.2732387813614094,2.6542489006756873,"family=persona_rotation, lookback=189, top_k=2, score=trail_sharpe, gate=mom_pos"
40,rotate_trail_sharpe_lb189_top2_both_pos,persona_rotation,Sortino(LPM0),True,False,1.5698977330128148,2.4117279864083097,1.9607909758149695,0.5446130475917685,10.175038902207866,-0.24040769270019746,0.3071788105121626,1399.0,1.1243395110030647,1.7186356971805514,1.4002898404966828,2.120268373844679,3.2732387813614094,2.6542489006756873,"family=persona_rotation, lookback=189, top_k=2, score=trail_sharpe, gate=both_pos"
41,rotate_trail_sharpe_lb126_top8_none,persona_rotation,Sharpe/Sortino(Downside Std),True,True,1.5740466846046801,2.3949955625816832,2.021468055191645,0.4827758361664758,7.907187067738054,-0.20731923862233548,0.27434184270530587,1399.0,1.1949955084621875,1.8024365796440411,1.5257307430186722,2.1790083057884657,3.370067145375001,2.8640795825358136,"family=persona_rotation, lookback=126, top_k=8, score=trail_sharpe, gate=none"
42,rotate_rank_sharpe_mom_lb189_top2_none,persona_rotation,Sortino(LPM0),True,False,1.5454966159987906,2.3802753258106533,1.972057618490756,0.580263403683539,11.684228950480833,-0.33218019296462864,0.33190600317060204,1399.0,1.24079996775047,1.9086594041454679,1.5789239634916015,1.9262843186119074,2.969635850217272,2.465098840321664,"family=persona_rotation, lookback=189, top_k=2, score=rank_sharpe_mom, gate=none"
43,rotate_rank_sharpe_mom_lb189_top2_score_pos,persona_rotation,Sortino(LPM0),True,False,1.5454966159987906,2.3802753258106533,1.972057618490756,0.580263403683539,11.684228950480833,-0.33218019296462864,0.33190600317060204,1399.0,1.24079996775047,1.9086594041454679,1.5789239634916015,1.9262843186119074,2.969635850217272,2.465098840321664,"family=persona_rotation, lookback=189, top_k=2, score=rank_sharpe_mom, gate=score_pos"
44,rotate_rank_sharpe_mom_lb189_top2_mom_pos,persona_rotation,Sortino(LPM0),True,False,1.5454966159987906,2.3802753258106533,1.972057618490756,0.580263403683539,11.684228950480833,-0.33218019296462864,0.33190600317060204,1399.0,1.24079996775047,1.9086594041454679,1.5789239634916015,1.9262843186119074,2.969635850217272,2.465098840321664,"family=persona_rotation, lookback=189, top_k=2, score=rank_sharpe_mom, gate=mom_pos"
45,rotate_rank_sharpe_mom_lb189_top2_both_pos,persona_rotation,Sortino(LPM0),True,False,1.5454966159987906,2.3802753258106533,1.972057618490756,0.580263403683539,11.684228950480833,-0.33218019296462864,0.33190600317060204,1399.0,1.24079996775047,1.9086594041454679,1.5789239634916015,1.9262843186119074,2.969635850217272,2.465098840321664,"family=persona_rotation, lookback=189, top_k=2, score=rank_sharpe_mom, gate=both_pos"
46,rotate_trail_sharpe_lb126_top8_mom_pos,persona_rotation,Sharpe/Sortino(Downside Std),True,True,1.5573250046728337,2.372092407884151,2.0085663031839367,0.47894176509647024,7.780074918885292,-0.2073192386223356,0.2758968049263592,1399.0,1.1568568332086786,1.747371567636566,1.4877484306756332,2.2012519659214536,3.4063251796016387,2.8945557466501555,"family=persona_rotation, lookback=126, top_k=8, score=trail_sharpe, gate=mom_pos"
47,rotate_trail_sharpe_lb126_top8_both_pos,persona_rotation,Sharpe/Sortino(Downside Std),True,True,1.5573250046728337,2.372092407884151,2.0085663031839367,0.47894176509647024,7.780074918885292,-0.2073192386223356,0.2758968049263592,1399.0,1.1568568332086786,1.747371567636566,1.4877484306756332,2.2012519659214536,3.4063251796016387,2.8945557466501555,"family=persona_rotation, lookback=126, top_k=8, score=trail_sharpe, gate=both_pos"
48,rotate_trail_sharpe_lb189_top8_mom_pos,persona_rotation,Sortino(LPM0),True,False,1.5544771882280215,2.349135939645048,1.9976623527417994,0.45485282179594444,7.015012980288823,-0.20193540470904792,0.26372691913974344,1399.0,1.1827756522856208,1.7632434596715363,1.4762171567974776,2.0803501634644026,3.2112989953059246,2.803647581878173,"family=persona_rotation, lookback=189, top_k=8, score=trail_sharpe, gate=mom_pos"
49,rotate_trail_sharpe_lb189_top8_both_pos,persona_rotation,Sortino(LPM0),True,False,1.5544771882280215,2.349135939645048,1.9976623527417994,0.45485282179594444,7.015012980288823,-0.20193540470904792,0.26372691913974344,1399.0,1.1827756522856208,1.7632434596715363,1.4762171567974776,2.0803501634644026,3.2112989953059246,2.803647581878173,"family=persona_rotation, lookback=189, top_k=8, score=trail_sharpe, gate=both_pos"
50,smic_mtt_strategy_top19_momfilter_lb504,persona_momentum_filter,Sortino(LPM0),True,False,1.4382411876495849,2.34081626561947,1.3976527616337902,0.395230760372997,5.353530699963585,-0.19763744574381714,0.25411203964138773,1399.0,0.7137972796899418,1.1852250182741269,0.29660751539274444,2.0444284356364615,3.310933858976212,2.8386091966829077,"family=persona_momentum_filter, persona=smic_mtt_strategy_top19, lookback=504, filter=equity_momentum_positive"
