account_id,label,kind,final_equity_krw,final_cash_krw,final_holdings_value_krw,money_weighted_return,cagr,max_drawdown,trade_count,open_positions,sharpe,sortino
pit_trend_quarterly_fresh540_top5,PIT Trend Quarterly Fresh 540,account,493610426.4398,4143560.5782,489466865.8616,0.6094,0.334,0.2409,165.0,5.0,1.048,1.5561
pit_trend_persist20_fresh540_top5,PIT Trend Monthly Fresh 540,account,458089407.9172,635891.1683,457453516.7489,0.5789,0.3157,0.2633,456.0,5.0,0.9715,1.4787
pit_trend_persist20_fresh540_top3,PIT Trend Monthly Fresh 540 Top 3,account,483364849.0064,2359.0064,483362490.0,0.6008,0.3288,0.2954,290.0,3.0,0.8903,1.4192
pit_trend_persist20_fresh540_top7,PIT Trend Monthly Fresh 540 Top 7,account,282659072.7115,1100898.7547,281558173.9568,0.3865,0.2032,0.2499,605.0,6.0,0.7415,1.052
pit_trend_quarterly_fresh540_top3,PIT Trend Quarterly Fresh 540 Top 3,account,379267131.4616,4074801.1626,375192330.299,0.5028,0.2705,0.2603,104.0,3.0,0.8243,1.3111
pit_trend_quarterly_fresh540_top7,PIT Trend Quarterly Fresh 540 Top 7,account,410458070.5588,4096084.5479,406361986.0109,0.5345,0.2892,0.2578,214.0,7.0,0.9899,1.4278
pit_trend_quarterly_fresh540_gross_top5,PIT Trend Quarterly Fresh 540 Gross,account,506864707.1153,4072513.9767,502792193.1386,0.6203,0.3405,0.2386,165.0,5.0,1.063,1.5793
pit_trend_quarterly_fresh540_slip25_top5,PIT Trend Quarterly Fresh 540 Slip 25,account,474202127.1562,4189270.7119,470012856.4443,0.593,0.3241,0.2439,165.0,5.0,1.0264,1.5237
pit_trend_quarterly_fresh540_slip50_top5,PIT Trend Quarterly Fresh 540 Slip 50,account,453938160.3498,4090856.1309,449847304.2189,0.5752,0.3134,0.2464,165.0,5.0,1.0025,1.4867
pit_trend_quarterly_fresh540_feb_top5,PIT Trend Quarterly Fresh 540 Feb Cycle,account,349192155.5548,2216672.0032,346975483.5515,0.4698,0.2512,0.2456,162.0,5.0,0.8126,1.164
pit_trend_quarterly_fresh540_mar_top5,PIT Trend Quarterly Fresh 540 Mar Cycle,account,464646498.7356,156098.5619,464490400.1736,0.5847,0.3191,0.2339,170.0,5.0,0.9696,1.4059
pit_trend_quarterly_fresh540_cash90_top5,PIT Trend Quarterly Fresh 540 90% Invested,account,433533611.5892,42166174.7139,391367436.8753,0.5566,0.3023,0.2151,165.0,5.0,1.0451,1.552
pit_trend_quarterly_fresh540_cash80_top5,PIT Trend Quarterly Fresh 540 80% Invested,account,378657354.9382,72920843.1339,305736511.8043,0.5021,0.2701,0.1896,165.0,5.0,1.0417,1.5455
pit_trend_quarterly_fresh540_vol35_top5,PIT Trend Quarterly Fresh 540 35% Vol Cap,account,482504300.4237,129432864.8256,353071435.5981,0.6001,0.3284,0.2413,165.0,5.0,1.0562,1.577
pit_trend_quarterly_fresh540_vol40_top5,PIT Trend Quarterly Fresh 540 40% Vol Cap,account,485644995.1784,84227104.3878,401417890.7906,0.6027,0.33,0.241,165.0,5.0,1.0493,1.5661
pit_trend_quarterly_fresh540_vol45_top5,PIT Trend Quarterly Fresh 540 45% Vol Cap,account,490132427.272,38593135.3074,451539291.9646,0.6065,0.3322,0.2409,165.0,5.0,1.0479,1.5594
