persona,rank,weight,as_of_date,price_date,report_id,symbol,company,publication_date,report_age_days,entry_price_krw,target_price_krw,last_close_krw,target_upside_at_pub,current_return,target_gap_pct,ytd_return,return_1m,return_3m,return_1y,distance_from_52w_high,above_20ma,above_50ma,above_200ma,ma_stack,target_hit,expired,bucket,rank_basis,candidate_score,board_score,trade_date,score_mode,rebalance
pit_research_board_score_top10,1,0.8233756820629565,2021-01-04,2021-01-04,aca3b0e80e5d334c,SE,SEA ltd.,2020-12-05,30,215206.20835532248,317355.8403808594,212672.15732243657,0.47465931771298986,-0.011774990379004313,-0.32986216019466263,0.0,-0.011774990379004313,0.1255392506243851,3.506376460578813,-0.04672873393041588,False,True,True,False,False,False,fresh,최근 30일 리포트,0.664523,1.29048,2021-01-05,board_score,M
pit_research_board_score_top10,2,0.1766243179370435,2021-01-04,2021-01-04,02f44f98e36b5ee9,GTT.PA,Gaztransport&technigaz,2020-12-05,30,105191.1168224793,124901.5678527832,106715.86328991687,0.18737752412656006,0.014495011684406256,-0.1456002904967626,0.0,0.014495011684406256,-0.051212408455412306,-0.0730226449140452,-0.17720593140364205,True,False,True,False,False,False,fresh,최근 30일 리포트,0.276824,0.276824,2021-01-05,board_score,M
pit_research_board_score_top10,1,0.4811945047404561,2021-02-01,2021-02-01,6078643ec9d84be5,285490.KQ,노바텍,2021-01-16,16,36809.5234375,139200.0,33904.76171875,2.781630051156513,-0.07891332045311816,-0.7564313094917385,-0.11771992965032319,-0.11771992965032319,1.0727802277698593,3.341463326185819,-0.1720930654027496,False,False,True,False,False,False,fresh,최근 16일 리포트,3.894282,4.395502,2021-02-02,board_score,M
pit_research_board_score_top10,2,0.18723685115129743,2021-02-01,2021-02-01,aca3b0e80e5d334c,SE,SEA ltd.,2020-12-05,58,215206.20835532248,317355.8403808594,260953.43907906488,0.47465931771298986,0.21257393582349682,-0.17772605424278898,0.227022109355989,0.227022109355989,0.38527393949705946,3.7098305603736694,0.0,True,True,True,True,False,False,fresh,최근 58일 리포트,0.877097,1.710327,2021-02-02,board_score,M
pit_research_board_score_top10,3,0.13873480989349904,2021-02-01,2021-02-01,16ef439296056ba9,006650.KS,대한유화,2021-01-16,16,272500.0,394500.0,287500.0,0.44770642201834865,0.05504587155963292,-0.27122940430925224,0.2286324786324787,0.2286324786324787,0.41277641277641286,2.055260361317747,-0.0368509212730318,True,True,True,True,False,False,fresh,최근 16일 리포트,0.681835,1.267282,2021-02-02,board_score,M
pit_research_board_score_top10,4,0.10864601747822886,2021-02-01,2021-02-01,74fbe4ce4444129a,170790.KQ,파이오링크,2021-01-16,16,12500.0,20400.0,13000.0,0.6319999999999999,0.040000000000000036,-0.36274509803921573,-0.04761904761904767,-0.04761904761904767,-0.07801418439716312,0.4508928571428572,-0.25287356321839083,False,False,False,False,False,False,fresh,최근 16일 리포트,0.9248,0.992434,2021-02-02,board_score,M
pit_research_board_score_top10,5,0.05546953308335242,2021-02-01,2021-02-01,fb850fafdb38be16,166090.KQ,하나머티리얼즈,2021-01-16,16,31050.0,40400.0,27900.0,0.30112721417069244,-0.10144927536231885,-0.30940594059405946,-0.08823529411764708,-0.08823529411764708,0.2372505543237251,0.5674157303370786,-0.11428571428571432,False,True,True,False,False,False,fresh,최근 16일 리포트,0.421578,0.50669,2021-02-02,board_score,M
pit_research_board_score_top10,6,0.02871828365316615,2021-02-01,2021-02-01,02f44f98e36b5ee9,GTT.PA,Gaztransport&technigaz,2020-12-05,58,105191.1168224793,124901.5678527832,101994.51226712018,0.18737752412656006,-0.030388540895080585,-0.18340086501286124,-0.04424226049664348,-0.04424226049664348,-0.06964901362657216,-0.15866429087158085,-0.20852965771539012,False,False,False,False,False,False,fresh,최근 58일 리포트,0.262329,0.262329,2021-02-02,board_score,M
pit_research_board_score_top10,1,0.5317352642591182,2021-03-01,2021-02-26,6078643ec9d84be5,285490.KQ,노바텍,2021-01-16,44,36809.5234375,139200.0,34000.0,2.781630051156513,-0.07632599325200107,-0.7557471264367817,-0.1152416099919148,0.002808994265762088,0.04385967594897067,4.36842091466846,-0.16976747957088123,False,False,True,False,False,False,fresh,최근 44일 리포트,3.894282,4.549545,2021-03-02,board_score,M
pit_research_board_score_top10,2,0.20058849696015701,2021-03-01,2021-03-01,aca3b0e80e5d334c,SE,SEA ltd.,2020-12-05,86,215206.20835532248,317355.8403808594,279168.6713157166,0.47465931771298986,0.2972147664754494,-0.12032918322635655,0.31267146029117154,0.06980261421706246,0.41978439321232575,3.8422392720856786,-0.0987046018062947,False,True,True,False,False,False,fresh,최근 86일 리포트,0.961738,1.716242,2021-03-02,board_score,M
pit_research_board_score_top10,3,0.1203148561588231,2021-03-01,2021-02-26,fb850fafdb38be16,166090.KQ,하나머티리얼즈,2021-01-16,44,31050.0,40400.0,36300.0,0.30112721417069244,0.16908212560386482,-0.10148514851485146,0.18627450980392157,0.30107526881720426,0.47861507128309566,1.1479289940828403,-0.047244094488189003,True,True,True,True,False,False,fresh,최근 44일 리포트,0.59066,1.029418,2021-03-02,board_score,M
pit_research_board_score_top10,4,0.11670126603049964,2021-03-01,2021-02-26,74fbe4ce4444129a,170790.KQ,파이오링크,2021-01-16,44,12500.0,20400.0,12800.0,0.6319999999999999,0.02400000000000002,-0.37254901960784315,-0.06227106227106227,-0.01538461538461533,-0.11111111111111116,0.5980024968789013,-0.26436781609195403,False,False,False,False,False,False,fresh,최근 44일 리포트,0.9088,0.9985,2021-03-02,board_score,M
pit_research_board_score_top10,5,0.03066011659140204,2021-03-01,2021-03-01,02f44f98e36b5ee9,GTT.PA,Gaztransport&technigaz,2020-12-05,86,105191.1168224793,124901.5678527832,94507.39159071352,0.18737752412656006,-0.10156489972243232,-0.24334503389016027,-0.11440165803687852,-0.07340709328358908,-0.1520783219453914,-0.1144702585330839,-0.21299128855895588,False,False,False,False,False,False,fresh,최근 86일 리포트,0.262329,0.262329,2021-03-02,board_score,M
pit_research_board_score_top10,1,0.6374943088742845,2021-04-01,2021-04-01,6078643ec9d84be5,285490.KQ,노바텍,2021-01-16,75,36809.5234375,139200.0,37238.09375,2.781630051156513,0.011642919344709401,-0.7324849586925287,-0.030978944905289962,0.12680117113209044,-0.030978944905289962,6.742573760863683,-0.09069775205769659,True,True,True,True,False,False,fresh,최근 75일 리포트,3.905925,5.137311,2021-04-02,board_score,M
pit_research_board_score_top10,2,0.20195408656020727,2021-04-01,2021-04-01,aca3b0e80e5d334c,SE,SEA ltd.,2020-12-05,117,215206.20835532248,317355.8403808594,266526.4250146486,0.47465931771298986,0.23846996353651817,-0.1601653692751024,0.25322669582254,-0.03242265814228784,0.25322669582254,4.0744502795627255,-0.13952006423007735,True,True,True,False,False,False,fresh,최근 117일 리포트,0.902993,1.627467,2021-04-02,board_score,M
pit_research_board_score_top10,3,0.12681459891477415,2021-04-01,2021-04-01,74fbe4ce4444129a,170790.KQ,파이오링크,2021-01-16,75,12500.0,20400.0,13000.0,0.6319999999999999,0.040000000000000036,-0.36274509803921573,-0.04761904761904767,-0.003831417624521105,-0.04761904761904767,0.6476552598225602,-0.25287356321839083,True,False,False,False,False,False,fresh,최근 75일 리포트,0.9248,1.021948,2021-04-02,board_score,M
pit_research_board_score_top10,4,0.03373700565073407,2021-04-01,2021-04-01,02f44f98e36b5ee9,GTT.PA,Gaztransport&technigaz,2020-12-05,117,105191.1168224793,124901.5678527832,90251.62570007332,0.18737752412656006,-0.14202236437529114,-0.2774179920107206,-0.15428107014525916,-0.019341042492918237,-0.15428107014525916,0.06363180466629514,-0.24843110732247164,False,False,False,False,False,False,fresh,최근 117일 리포트,0.262329,0.271873,2021-04-02,board_score,M
pit_research_board_score_top10,1,0.3454024171858847,2021-05-03,2021-05-03,6078643ec9d84be5,285490.KQ,노바텍,2021-01-16,107,36809.5234375,139200.0,42380.953125,2.781630051156513,0.15135837596376112,-0.6955391298491379,0.10285011334950367,0.16187988633424744,0.25528910634304003,4.545171588744111,-0.11881186912588226,True,True,True,True,False,False,fresh,최근 107일 리포트,4.04564,4.873129,2021-05-04,board_score,M
pit_research_board_score_top10,2,0.17473476199369817,2021-05-03,2021-05-03,82013abc077ec06a,007690.KS,국도화학,2021-04-15,18,61268.0546875,146000.0,62542.91015625,1.3829710400416406,0.020807833303218892,-0.5716239030393835,0.5588784593581282,0.1583333411708343,0.6985742402079664,0.9904533733902452,-0.07641202203368824,True,True,True,True,False,False,fresh,최근 18일 리포트,1.956967,2.465255,2021-05-04,board_score,M
pit_research_board_score_top10,3,0.13555711410559054,2021-05-03,2021-05-03,1195e33544158456,004020.KS,현대제철,2021-04-15,18,49500.0,93800.0,55000.0,0.8949494949494949,0.11111111111111116,-0.4136460554371002,0.3349514563106797,0.10220440881763526,0.36476426799007444,1.6315789473684212,-0.05821917808219179,True,True,True,True,False,False,fresh,최근 18일 리포트,1.36404,1.912515,2021-05-04,board_score,M
pit_research_board_score_top10,4,0.12553525148394007,2021-05-03,2021-05-03,aca3b0e80e5d334c,SE,SEA ltd.,2020-12-05,149,215206.20835532248,317355.8403808594,284349.4282335937,0.47465931771298986,0.3212882212213428,-0.10400442641186192,0.33703175729997303,0.0723984694162716,0.06729540736904016,3.2070140068971185,-0.081978540292171,True,True,True,True,False,False,near-target,목표가 20% 이내,0.985811,1.771121,2021-05-04,board_score,M
pit_research_board_score_top10,5,0.06786605715468381,2021-05-03,2021-05-03,9ef8e475c404c2f2,060150.KQ,인선이엔티,2021-04-15,18,14600.0,21750.0,13600.0,0.48972602739726034,-0.06849315068493156,-0.37471264367816093,0.18777292576419224,0.014925373134328401,0.11934156378600824,0.8328840970350404,-0.07482993197278909,False,True,True,False,False,False,fresh,최근 18일 리포트,0.685616,0.957492,2021-05-04,board_score,M
pit_research_board_score_top10,6,0.06665820844161575,2021-05-03,2021-05-03,74fbe4ce4444129a,170790.KQ,파이오링크,2021-01-16,107,12500.0,20400.0,12950.0,0.6319999999999999,0.03600000000000003,-0.3651960784313726,-0.05128205128205132,-0.007662835249042099,-0.018939393939393923,0.13100436681222716,-0.25574712643678166,False,False,False,False,False,False,fresh,최근 107일 리포트,0.9208,0.940451,2021-05-04,board_score,M
pit_research_board_score_top10,7,0.06472243259497518,2021-05-03,2021-05-03,b97e4a85c6c1ec4e,017650.KS,대림제지,2021-04-15,18,15100.0,21500.0,14300.0,0.42384105960264895,-0.052980132450331174,-0.33488372093023255,0.4636642784032754,0.059259259259259345,0.2767857142857142,0.6923076923076923,-0.0714285714285714,False,True,True,False,False,False,fresh,최근 18일 리포트,0.593377,0.91314,2021-05-04,board_score,M
pit_research_board_score_top10,8,0.019523757039611782,2021-05-03,2021-05-03,02f44f98e36b5ee9,GTT.PA,Gaztransport&technigaz,2020-12-05,149,105191.1168224793,124901.5678527832,95627.47604370116,0.18737752412656006,-0.09091680997091944,-0.23437729655712825,-0.10390570721516534,0.03822177139742067,-0.0806837568102261,0.08748997611833209,-0.2036638041451594,True,True,False,False,False,False,near-target,목표가 20% 이내,0.262329,0.275452,2021-05-04,board_score,M
pit_research_board_score_top10,1,0.2103836373980286,2021-06-01,2021-06-01,786a5c9006c4a1d7,194480.KQ,데브시스터즈,2021-05-06,26,108600.0,198000.0,112600.0,0.8232044198895028,0.036832412523020164,-0.4313131313131313,6.557046979865772,0.06026365348399243,0.8489326765188834,11.609182530795072,-0.2087139845397048,True,False,True,False,False,False,fresh,최근 26일 리포트,1.189319,4.569958,2021-06-02,board_score,M
pit_research_board_score_top10,2,0.2001961419613699,2021-06-01,2021-06-01,6078643ec9d84be5,285490.KQ,노바텍,2021-01-16,136,36809.5234375,139200.0,38666.66796875,2.781630051156513,0.05045282736146528,-0.7222222128681752,0.006195849970836775,-0.08764043473243621,0.168345356517843,2.682539806547619,-0.1960395799967528,False,False,True,False,False,False,large-upside,목표 업사이드 50% 이상,3.944735,4.348665,2021-06-02,board_score,M
pit_research_board_score_top10,3,0.09999303932202998,2021-06-01,2021-06-01,82013abc077ec06a,007690.KS,국도화학,2021-04-15,47,61268.0546875,146000.0,56393.609375,1.3829710400416406,-0.07955932887639883,-0.6137424015410959,0.4056074890106316,-0.09832130877644318,0.3452593764350165,0.8965951835521508,-0.16722040079752487,False,False,True,False,False,False,fresh,최근 47일 리포트,1.936159,2.172051,2021-06-02,board_score,M
pit_research_board_score_top10,4,0.08958461601779061,2021-06-01,2021-06-01,1488bad8a01bf103,SBLK,Star Bulk Carriers,2021-05-31,1,22128.529556202702,42065.72907714843,22128.529556202702,0.9009726321990186,0.0,-0.47395349987589563,1.3024871084017189,-0.05688067256513485,0.3889573856813786,2.393170256114259,-0.14571025953709205,False,True,True,False,False,False,fresh,최근 1일 리포트,1.261362,1.945959,2021-06-02,board_score,M
pit_research_board_score_top10,5,0.07564613460017673,2021-06-01,2021-06-01,1195e33544158456,004020.KS,현대제철,2021-04-15,47,49500.0,93800.0,53900.0,0.8949494949494949,0.0888888888888888,-0.4253731343283582,0.308252427184466,-0.020000000000000018,0.26972909305064774,1.4953703703703702,-0.12924071082390953,False,True,True,False,False,False,fresh,최근 47일 리포트,1.341818,1.643187,2021-06-02,board_score,M
pit_research_board_score_top10,6,0.07156041919117843,2021-06-01,2021-06-01,a9abf8131be0116b,344820.KQ,케이씨씨글라스,2021-05-06,26,63100.0,108000.0,63800.0,0.7115689381933439,0.011093502377178988,-0.4092592592592592,0.7503429355281208,0.08135593220338988,0.38095238095238093,0.9304084720121029,-0.037707390648567096,True,True,True,True,False,False,fresh,최근 26일 리포트,1.00729,1.554437,2021-06-02,board_score,M
pit_research_board_score_top10,7,0.06886117691990185,2021-06-01,2021-06-01,aca3b0e80e5d334c,SE,SEA ltd.,2020-12-05,178,215206.20835532248,317355.8403808594,285091.6336289793,0.47465931771298986,0.3247370315556626,-0.10166570973819078,0.34052166121936733,0.002610187753836035,0.009096661534083061,1.8094250617187138,-0.07958233192028286,True,True,True,False,False,False,near-target,목표가 20% 이내,0.98926,1.495804,2021-06-02,board_score,M
pit_research_board_score_top10,8,0.06446094198781312,2021-06-01,2021-06-01,0bb8a0b98b8d77ac,284740.KS,쿠쿠홈시스,2021-05-06,26,41600.0,66500.0,51000.0,0.5985576923076923,0.22596153846153855,-0.23308270676691734,0.3076923076923077,0.22743682310469304,0.2530712530712531,0.2623762376237624,-0.017341040462427793,True,True,True,True,False,False,fresh,최근 26일 리포트,1.063942,1.400222,2021-06-02,board_score,M
pit_research_board_score_top10,9,0.06317777415012286,2021-06-01,2021-06-01,65b98e5336bd59f3,WFG,West Fraser Timber. Co. Ltd,2021-05-31,1,85503.13132664189,152460.44665527344,85503.13132664189,0.7830978151295886,0.0,-0.4391782708076932,0.25436578351188377,-0.03206612115591678,0.16121666983655136,1.4161401119679624,-0.11852750526067946,False,False,True,False,False,False,fresh,최근 1일 리포트,1.096337,1.372349,2021-06-02,board_score,M
pit_research_board_score_top10,10,0.05613611845158798,2021-06-01,2021-06-01,ba5672804816e8f8,053030.KQ,바이넥스,2021-05-06,26,24400.0,43750.0,22200.0,0.7930327868852458,-0.0901639344262295,-0.49257142857142855,-0.15267175572519087,-0.1777777777777778,-0.19999999999999996,0.727626459143969,-0.3850415512465374,False,False,False,False,False,False,fresh,최근 26일 리포트,1.110246,1.21939,2021-06-02,board_score,M
pit_research_board_score_top10,1,0.19689127772161796,2021-07-01,2021-07-01,6078643ec9d84be5,285490.KQ,노바텍,2021-01-16,166,36809.5234375,139200.0,38523.80859375,2.781630051156513,0.04657178349947233,-0.723248501481681,0.00247831965840839,-0.0036946388842052924,0.050649287974102064,3.138107482341252,-0.19900992342585888,False,False,True,False,False,False,large-upside,목표 업사이드 50% 이상,3.940854,4.41219,2021-07-02,board_score,M
pit_research_board_score_top10,2,0.17501542107282295,2021-07-01,2021-07-01,786a5c9006c4a1d7,194480.KQ,데브시스터즈,2021-05-06,56,108600.0,198000.0,90200.0,0.8232044198895028,-0.1694290976058932,-0.5444444444444445,5.053691275167785,-0.19893428063943164,-0.11827956989247312,10.040391676866586,-0.3661278988053408,False,False,True,False,False,False,fresh,최근 56일 리포트,1.152486,3.921968,2021-07-02,board_score,M
pit_research_board_score_top10,3,0.11795818793034364,2021-07-01,2021-07-01,ddf3b21845907899,298020.KQ,효성티앤씨,2021-06-06,25,743000.0,975000.0,892000.0,0.3122476446837146,0.2005383580080753,-0.08512820512820518,3.187793427230047,0.27610872675250353,0.6366972477064221,6.591489361702128,-0.008888888888888835,True,True,True,True,False,False,fresh,최근 25일 리포트,0.637685,2.643357,2021-07-02,board_score,M
pit_research_board_score_top10,4,0.10327729982827197,2021-07-01,2021-07-01,82013abc077ec06a,007690.KS,국도화학,2021-04-15,77,61268.0546875,146000.0,60368.16015625,1.3829710400416406,-0.01468782607575747,-0.586519450984589,0.5046729399632124,0.07047874440560231,0.20508982000908138,1.346938925824242,-0.10852714027913368,True,True,True,False,False,False,fresh,최근 77일 리포트,1.936159,2.314369,2021-07-02,board_score,M
pit_research_board_score_top10,5,0.0911665979674216,2021-07-01,2021-07-01,1488bad8a01bf103,SBLK,Star Bulk Carriers,2021-05-31,31,22128.529556202702,42065.72907714843,24116.95990966796,0.9009726321990186,0.08985822344927996,-0.42668389592303224,1.509384509477567,0.08985822344927996,0.5024837669989342,2.0960717956689283,-0.11327054099701617,False,True,True,False,False,False,fresh,최근 31일 리포트,1.35122,2.042977,2021-07-02,board_score,M
pit_research_board_score_top10,6,0.07366567167669132,2021-07-01,2021-07-01,1195e33544158456,004020.KS,현대제철,2021-04-15,77,49500.0,93800.0,53500.0,0.8949494949494949,0.08080808080808088,-0.42963752665245203,0.29854368932038833,-0.007421150278293154,0.1395101171458999,1.6161369193154034,-0.13570274636510504,True,False,True,False,False,False,fresh,최근 77일 리포트,1.333737,1.650794,2021-07-02,board_score,M
pit_research_board_score_top10,7,0.06319844139508153,2021-07-01,2021-07-01,a9abf8131be0116b,344820.KQ,케이씨씨글라스,2021-05-06,56,63100.0,108000.0,61800.0,0.7115689381933439,-0.020602218700475405,-0.4277777777777778,0.6954732510288066,-0.031347962382445194,0.2861602497398543,0.97444089456869,-0.0678733031674208,False,False,True,False,False,False,fresh,최근 56일 리포트,0.996197,1.416231,2021-07-02,board_score,M
pit_research_board_score_top10,8,0.060900062300107846,2021-07-01,2021-07-01,65e4ae8e1e885829,005850.KS,에스엘,2021-06-06,25,35000.0,50000.0,35800.0,0.4285714285714286,0.02285714285714291,-0.28400000000000003,1.130952380952381,0.09146341463414642,0.5137420718816068,1.5942028985507246,-0.04149933065595712,True,True,True,True,False,False,fresh,최근 25일 리포트,0.622857,1.364726,2021-07-02,board_score,M
pit_research_board_score_top10,9,0.060130068488171706,2021-07-01,2021-07-01,32a42b5c3654e918,4751.T,Cyber Agent,2021-05-31,31,22251.228424072266,36545.46615600586,23936.32002353668,0.6424021838034577,0.07573027283479838,-0.3450262770939372,0.2271476159526502,0.08855079954602707,0.20301256138622548,0.6372700412202967,-0.03352594253296581,True,True,True,True,False,False,fresh,최근 31일 리포트,0.975093,1.347471,2021-07-02,board_score,M
pit_research_board_score_top10,10,0.05779697161946946,2021-07-01,2021-07-01,65b98e5336bd59f3,WFG,West Fraser Timber. Co. Ltd,2021-05-31,31,85503.13132664189,152460.44665527344,81523.22816967778,0.7830978151295886,-0.04654687021648307,-0.46528276705099114,0.1959789821827589,-0.04654687021648307,-0.051086828794379424,0.9990389372745183,-0.15955729107271022,True,False,True,False,False,False,fresh,최근 31일 리포트,1.096337,1.295188,2021-07-02,board_score,M
pit_research_board_score_top10,1,0.19237773047398601,2021-08-02,2021-08-02,6078643ec9d84be5,285490.KQ,노바텍,2021-01-16,198,36809.5234375,139200.0,34904.76171875,2.781630051156513,-0.05174643790170641,-0.7492474014457615,-0.09169762406185011,-0.08489384735898786,-0.1980306217098311,2.166306665233925,-0.27425743241701184,False,False,True,False,False,False,large-upside,목표 업사이드 50% 이상,3.894282,4.219228,2021-08-03,board_score,M
pit_research_board_score_top10,2,0.16021764182178022,2021-08-02,2021-08-02,786a5c9006c4a1d7,194480.KQ,데브시스터즈,2021-05-06,88,108600.0,198000.0,81500.0,0.8232044198895028,-0.24953959484346222,-0.5883838383838385,4.469798657718121,-0.10242290748898675,-0.24115456238361266,8.293044469783352,-0.42726633872101194,False,False,True,False,False,False,fresh,최근 88일 리포트,1.152486,3.513893,2021-08-03,board_score,M
pit_research_board_score_top10,3,0.12255759826350522,2021-08-02,2021-08-02,82013abc077ec06a,007690.KS,국도화학,2021-04-15,109,61268.0546875,146000.0,69785.1015625,1.3829710400416406,0.1390128496561791,-0.5220198523116438,0.739389666040817,0.1632168724332621,0.13208448442937448,1.3860858164817422,-0.07060069155894588,True,True,True,True,False,False,fresh,최근 109일 리포트,2.075172,2.687933,2021-08-03,board_score,M
pit_research_board_score_top10,4,0.11709658189828397,2021-08-02,2021-08-02,ddf3b21845907899,298020.KQ,효성티앤씨,2021-06-06,57,743000.0,975000.0,866000.0,0.3122476446837146,0.1655450874831763,-0.1117948717948718,3.065727699530516,-0.008018327605956443,0.19944598337950148,7.326923076923077,-0.07379679144385032,False,True,True,False,False,False,fresh,최근 57일 리포트,0.602692,2.568162,2021-08-03,board_score,M
pit_research_board_score_top10,5,0.08392135545516646,2021-08-02,2021-08-02,1488bad8a01bf103,SBLK,Star Bulk Carriers,2021-05-31,63,22128.529556202702,42065.72907714843,22086.348345375853,0.9009726321990186,-0.0019061913137841113,-0.47495624514507884,1.2980981274755834,-0.050721713355730835,-0.035099714659199255,1.6978474804757169,-0.18793182088445848,True,False,True,False,False,False,fresh,최근 63일 리포트,1.261362,1.840563,2021-08-03,board_score,M
