trial_number,train_rank,accepted,admission_status,excess_return_vs_best_benchmark,label,persona_name,min_target_upside_at_pub,max_target_upside_at_pub,target_hit_multiplier,require_mtt,min_price_vs_52w_low,max_pct_below_52w_high,min_ma200_1m_return,max_positions,universe,top_up_cadence,stop_loss_pct,take_profit_pct,report_age_stop_days,source_trial_number,selection_rank,train_money_weighted_return,train_score,train_max_drawdown,train_trade_count,train_open_positions,full_money_weighted_return,full_net_profit_krw,full_final_equity_krw,full_max_drawdown,full_trade_count,full_open_positions
309,308,True,accepted,0.1304,SMIC MTT Strategy,smic_mtt_strategy,0.15,4.5,1.1,True,0.0,0.2,0.05,20,all,monthly,0.15,2.75,180,,,0.0851,0.0009,0.2405,63,3,0.5544,317461580.3132,419461580.3132,0.2405,120,2
257,309,True,accepted,0.1498,SMIC MTT Strategy,smic_mtt_strategy,0.1,4.5,1.1,True,0.0,0.25,0.05,15,all,monthly,0.15,3.0,180,,,0.085,0.0009,0.2405,63,3,0.5738,337897578.257,439897578.257,0.2405,119,2
139,310,False,below_benchmark,-0.2286,SMIC MTT Strategy,smic_mtt_strategy,0.05,4.75,1.1,True,0.0,0.25,0.04,15,all,monthly,0.15,3.0,365,,,0.0895,0.0008,0.2533,60,3,0.1954,66960111.3773,168960111.3773,0.4226,127,4
145,311,False,below_benchmark,-0.2286,SMIC MTT Strategy,smic_mtt_strategy,0.05,4.5,1.1,True,0.0,0.25,0.04,10,all,monthly,0.15,2.75,365,,,0.0895,0.0008,0.2533,60,3,0.1954,66960111.3773,168960111.3773,0.4226,127,4
157,313,False,below_benchmark,-0.2286,SMIC MTT Strategy,smic_mtt_strategy,0.05,4.5,1.1,True,0.0,0.25,0.04,15,all,monthly,0.15,3.0,730,,,0.0895,0.0008,0.2533,60,3,0.1954,66960111.3773,168960111.3773,0.4226,127,4
290,314,False,below_benchmark,-0.2286,SMIC MTT Strategy,smic_mtt_strategy,0.05,5.0,1.1,True,0.0,0.3,0.04,15,all,monthly,0.15,3.0,365,,,0.0895,0.0008,0.2533,60,3,0.1954,66960111.3773,168960111.3773,0.4226,127,4
60,315,False,below_benchmark,-0.3005,SMIC MTT Strategy,smic_mtt_strategy,0.4,1.75,1.05,False,0.5,0.7,0.01,40,all,monthly,0.1,1.25,1095,,,0.0682,-0.0006,0.1966,202,8,0.1234,38258795.6078,140258795.6078,0.1966,417,3
381,316,True,accepted,0.0536,SMIC MTT Strategy,smic_mtt_strategy,0.2,4.25,1.1,True,0.1,0.2,0.0,20,all,monthly,0.15,2.75,730,,,0.0739,-0.0016,0.2158,83,4,0.4775,244890955.3329,346890955.3329,0.3621,173,2
311,317,True,accepted,0.0536,SMIC MTT Strategy,smic_mtt_strategy,0.15,4.5,1.1,True,0.0,0.2,0.0,10,all,monthly,0.15,2.75,730,,,0.0738,-0.0017,0.2158,90,4,0.4775,244893485.9084,346893485.9084,0.362,180,2
39,318,False,below_benchmark,-0.243,SMIC MTT Strategy,smic_mtt_strategy,0.2,1.25,1.05,False,0.1,0.95,0.04,40,domestic,quarterly,0.1,0.5,1095,,,0.0812,-0.0018,0.2371,211,8,0.181,60798735.0874,162798735.0874,0.2371,400,2
188,319,False,below_benchmark,-0.2707,SMIC MTT Strategy,smic_mtt_strategy,0.1,4.75,1.1,True,0.0,0.35,0.04,15,all,deposit_only,0.15,3.0,365,,,0.0855,-0.003,0.2529,67,4,0.1533,49512654.6734,151512654.6734,0.4232,140,5
278,321,True,accepted,0.1464,SMIC MTT Strategy,smic_mtt_strategy,0.1,4.5,1.1,True,0.0,0.35,0.05,15,all,deposit_only,0.15,3.0,180,,,0.0805,-0.0061,0.2475,65,2,0.5704,334260845.7144,436260845.7144,0.2475,123,3
61,322,False,below_benchmark,-0.4958,SMIC MTT Strategy,smic_mtt_strategy,0.45,2.0,1.05,True,0.4,0.65,0.02,35,overseas,monthly,0.05,1.0,1095,,,0.0714,-0.0073,0.2248,10,0,-0.0718,-17075344.2259,84924655.7741,0.3762,47,0
193,323,False,below_benchmark,-0.0295,SMIC MTT Strategy,smic_mtt_strategy,0.1,4.75,1.1,True,0.0,0.3,-0.02,15,all,deposit_only,0.15,3.0,365,,,0.0617,-0.0138,0.2158,101,3,0.3944,179518936.8971,281518936.8971,0.3391,187,2
249,324,False,below_benchmark,-0.0295,SMIC MTT Strategy,smic_mtt_strategy,0.15,4.75,1.1,True,0.0,0.25,-0.04,15,all,monthly,0.15,3.0,365,,,0.0617,-0.0138,0.2158,101,3,0.3945,179535568.8588,281535568.8588,0.3391,184,2
251,325,False,below_benchmark,-0.0295,SMIC MTT Strategy,smic_mtt_strategy,0.1,4.75,1.1,True,0.0,0.3,-0.01,15,all,quarterly,0.15,3.0,365,,,0.0617,-0.0138,0.2158,101,3,0.3944,179518936.8971,281518936.8971,0.3391,187,2
272,326,False,below_benchmark,-0.0295,SMIC MTT Strategy,smic_mtt_strategy,0.1,4.75,1.1,True,0.0,0.25,-0.03,15,all,monthly,0.15,3.0,365,,,0.0617,-0.0138,0.2158,101,3,0.3945,179535568.8588,281535568.8588,0.3391,184,2
47,327,False,below_benchmark,-0.3844,SMIC MTT Strategy,smic_mtt_strategy,0.05,1.5,1.1,False,0.2,0.85,0.01,30,overseas,monthly,0.15,0.75,1095,,,0.0352,-0.0157,0.1456,96,3,0.0396,10924378.2164,112924378.2164,0.2775,190,4
10,328,False,below_benchmark,-0.3422,SMIC MTT Strategy,smic_mtt_strategy,0.6,1.0,1.0,True,0.9,0.35,-0.01,20,all,quarterly,0.2,2.75,730,,,0.0554,-0.0166,0.2058,19,1,0.0817,23909813.383,125909813.383,0.3281,48,1
11,329,False,below_benchmark,-0.2965,SMIC MTT Strategy,smic_mtt_strategy,0.6,1.0,1.0,True,1.0,0.35,-0.01,20,all,quarterly,0.2,3.0,730,,,0.0554,-0.0166,0.2058,19,1,0.1275,39744297.9494,141744297.9494,0.2788,47,0
314,330,False,below_benchmark,-0.1995,SMIC MTT Strategy,smic_mtt_strategy,0.15,4.5,1.1,False,0.7,0.2,0.05,20,all,monthly,0.15,2.75,730,,,0.0401,-0.0212,0.1363,284,13,0.2245,80177395.054,182177395.054,0.1676,581,10
379,331,False,below_benchmark,-0.1995,SMIC MTT Strategy,smic_mtt_strategy,0.15,4.5,1.1,False,0.1,0.15,0.05,20,all,monthly,0.15,2.75,730,,,0.0401,-0.0212,0.1363,284,13,0.2245,80177395.054,182177395.054,0.1676,581,10
108,332,False,below_benchmark,-0.2136,SMIC MTT Strategy,smic_mtt_strategy,0.1,3.75,1.1,False,0.1,0.2,0.05,20,all,monthly,0.1,2.25,365,,,0.0684,-0.0223,0.2339,272,8,0.2103,73630415.1968,175630415.1968,0.2339,539,4
