account_id,symbol,company,qty,avg_cost_krw,last_close_krw,market_value_krw,unrealized_pnl_krw,unrealized_return,holding_days,first_buy_date
pit_trend_quarterly_fresh540_runwinners_weeklycap50_top5,475960.KQ,토모큐브,565,57737.5093,42150.0,23814750.0,-8806942.77,-0.27,61,2026-04-01
pit_trend_quarterly_fresh540_slip25_top5,356860.KQ,티엘비,1177,72316.3901,106300.0,125115100.0,39998708.8229,0.4699,61,2026-04-01
pit_trend_quarterly_fresh540_slip25_top5,GLW,Corning,388,134081.9767,265025.7934,102830007.831,50806200.8816,0.9766,150,2026-01-02
pit_trend_quarterly_fresh540_slip25_top5,LITE,Lumentum Holdings Inc,75,559076.7331,1344995.9815,100874698.6133,58943943.6279,1.4057,150,2026-01-02
pit_trend_quarterly_fresh540_slip25_top5,218410.KQ,RFHIC,904,35155.1938,87600.0,79190400.0,47410104.7935,1.4918,150,2026-01-02
pit_trend_quarterly_fresh540_slip25_top5,475960.KQ,토모큐브,1471,57873.1721,42150.0,62002650.0,-23128786.1959,-0.2717,61,2026-04-01
pit_trend_quarterly_fresh540_slip50_top5,356860.KQ,티엘비,1126,72496.7302,106300.0,119693800.0,38062481.7385,0.4663,61,2026-04-01
pit_trend_quarterly_fresh540_slip50_top5,GLW,Corning,370,133874.7301,265025.7934,98059543.5502,48525893.4292,0.9797,150,2026-01-02
pit_trend_quarterly_fresh540_slip50_top5,LITE,Lumentum Holdings Inc,72,560470.9395,1344995.9815,96839710.6688,56485803.028,1.3998,150,2026-01-02
pit_trend_quarterly_fresh540_slip50_top5,218410.KQ,RFHIC,867,35242.8626,87600.0,75949200.0,45393638.1041,1.4856,150,2026-01-02
pit_trend_quarterly_fresh540_slip50_top5,475960.KQ,토모큐브,1407,58017.4942,42150.0,59305050.0,-22325564.4097,-0.2735,61,2026-04-01
pit_trend_quarterly_fresh540_top3,356860.KQ,티엘비,1445,72146.8704,106300.0,153603500.0,49351272.2612,0.4734,61,2026-04-01
pit_trend_quarterly_fresh540_top3,LITE,Lumentum Holdings Inc,92,557766.1792,1344995.9815,123739630.299,72425141.8126,1.4114,150,2026-01-02
pit_trend_quarterly_fresh540_top3,218410.KQ,RFHIC,1117,35072.7851,87600.0,97849200.0,58672899.0112,1.4977,150,2026-01-02
pit_trend_quarterly_fresh540_top5,356860.KQ,티엘비,1226,72146.8704,106300.0,130323800.0,41871736.8804,0.4734,61,2026-04-01
pit_trend_quarterly_fresh540_top5,GLW,Corning,410,135241.5636,265025.7934,108660575.2853,53211534.2296,0.9596,150,2026-01-02
pit_trend_quarterly_fresh540_top5,LITE,Lumentum Holdings Inc,77,557766.1792,1344995.9815,103564690.5763,60616694.7779,1.4114,150,2026-01-02
pit_trend_quarterly_fresh540_top5,218410.KQ,RFHIC,940,35072.7851,87600.0,82344000.0,49375581.979,1.4977,150,2026-01-02
pit_trend_quarterly_fresh540_top5,475960.KQ,토모큐브,1532,57737.5093,42150.0,64573800.0,-23880064.2897,-0.27,61,2026-04-01
pit_trend_quarterly_fresh540_top7,356860.KQ,티엘비,760,72146.8704,106300.0,80788000.0,25956378.4903,0.4734,61,2026-04-01
pit_trend_quarterly_fresh540_top7,GLW,Corning,257,130979.9289,265025.7934,68111628.8984,34449787.1592,1.0234,150,2026-01-02
pit_trend_quarterly_fresh540_top7,LITE,Lumentum Holdings Inc,48,557766.1792,1344995.9815,64559807.1125,37787030.5109,1.4114,150,2026-01-02
pit_trend_quarterly_fresh540_top7,098120.KQ,마이크로컨텍솔,1867,29369.0797,29700.0,55449900.0,617828.1978,0.0113,61,2026-04-01
pit_trend_quarterly_fresh540_top7,218410.KQ,RFHIC,583,35072.7851,87600.0,51070800.0,30623366.2699,1.4977,150,2026-01-02
pit_trend_quarterly_fresh540_top7,950160.KQ,코오롱티슈진,495,108570.5331,93700.0,46381500.0,-7360913.9031,-0.137,61,2026-04-01
pit_trend_quarterly_fresh540_top7,475960.KQ,토모큐브,949,57737.5093,42150.0,40000350.0,-14792546.3518,-0.27,61,2026-04-01
pit_trend_quarterly_fresh540_vol35_top5,356860.KQ,티엘비,880,72146.8704,106300.0,93544000.0,30054754.0414,0.4734,61,2026-04-01
pit_trend_quarterly_fresh540_vol35_top5,GLW,Corning,297,130979.9289,265025.7934,78712660.6335,39811621.7365,1.0234,150,2026-01-02
pit_trend_quarterly_fresh540_vol35_top5,LITE,Lumentum Holdings Inc,56,557766.1792,1344995.9815,75319774.9646,44084868.9294,1.4114,150,2026-01-02
pit_trend_quarterly_fresh540_vol35_top5,218410.KQ,RFHIC,675,35072.7851,87600.0,59130000.0,35455870.0381,1.4977,150,2026-01-02
pit_trend_quarterly_fresh540_vol35_top5,475960.KQ,토모큐브,1100,57737.5093,42150.0,46365000.0,-17146260.2603,-0.27,61,2026-04-01
pit_trend_quarterly_fresh540_vol40_top5,356860.KQ,티엘비,1003,72146.8704,106300.0,106618900.0,34255588.9813,0.4734,61,2026-04-01
pit_trend_quarterly_fresh540_vol40_top5,GLW,Corning,339,130979.9289,265025.7934,89843743.9554,45441548.0426,1.0234,150,2026-01-02
pit_trend_quarterly_fresh540_vol40_top5,LITE,Lumentum Holdings Inc,63,557766.1792,1344995.9815,84734746.8352,49595477.5456,1.4114,150,2026-01-02
pit_trend_quarterly_fresh540_vol40_top5,218410.KQ,RFHIC,769,35072.7851,87600.0,67364400.0,40393428.236,1.4977,150,2026-01-02
pit_trend_quarterly_fresh540_vol40_top5,475960.KQ,토모큐브,1254,57737.5093,42150.0,52856100.0,-19546736.6967,-0.27,61,2026-04-01
pit_trend_quarterly_fresh540_vol45_top5,356860.KQ,티엘비,1128,72146.8704,106300.0,119906400.0,38524730.1803,0.4734,61,2026-04-01
pit_trend_quarterly_fresh540_vol45_top5,GLW,Corning,381,130979.9289,265025.7934,100974827.2773,51071474.3488,1.0234,150,2026-01-02
pit_trend_quarterly_fresh540_vol45_top5,LITE,Lumentum Holdings Inc,71,557766.1792,1344995.9815,95494714.6873,55893315.9641,1.4114,150,2026-01-02
pit_trend_quarterly_fresh540_vol45_top5,218410.KQ,RFHIC,865,35072.7851,87600.0,75774000.0,45436040.8636,1.4977,150,2026-01-02
pit_trend_quarterly_fresh540_vol45_top5,475960.KQ,토모큐브,1409,57737.5093,42150.0,59389350.0,-21962800.6424,-0.27,61,2026-04-01
pit_trend_quarterly_fresh540_vol50_top5,356860.KQ,티엘비,1226,72146.8704,106300.0,130323800.0,41871736.8804,0.4734,61,2026-04-01
pit_trend_quarterly_fresh540_vol50_top5,GLW,Corning,410,135241.5636,265025.7934,108660575.2853,53211534.2296,0.9596,150,2026-01-02
