date,cash125_minus_cap20,cash125_minus_cash15
2023-08-07,0.0,0.0
2023-08-28,0.0,0.0
2025-02-24,-217178.17272740602,-217178.17272740602
2025-03-21,2159459.2822862566,2538973.828560263
2025-03-27,3731583.1266881824,3731476.629932612
2025-04-01,4490725.26693514,2312911.4032888412
2026-05-22,17760713.924292207,8466414.017930388
