account_id,label,initial_capital_krw,total_contributed_krw,final_equity_krw,final_cash_krw,final_holdings_value_krw,net_profit_krw,money_weighted_return,time_weighted_return,cagr,max_drawdown,realized_pnl_krw,sharpe,sortino,trade_count,open_positions
pit_trend_quarterly_fresh540_runwinners_weeklycap45_profit60_mixedentry_trailtrim25cap20_top5,PIT Trend Quarterly Fresh 540 Run Winners Weekly 45 Cap Profit 60 Mixed Entry Trail Trim 25 Cap 20,10000000.0,102000000.0,715077173.1304452,2028871.989126736,713048301.1413186,613077173.1304452,0.7721687316079624,10.010884384711414,0.43643757234068103,0.27467107367679405,241092661.52135012,1.195620400414462,1.8570160117289563,136,5
pit_trend_quarterly_fresh540_runwinners_weeklycap45_profit60_mixedentry_trailtrim25cap20_redeploycash15_top5,PIT Trend Quarterly Fresh 540 Run Winners Weekly 45 Cap Profit 60 Mixed Entry Trail Trim 25 Cap 20 Redeploy Cash 15,10000000.0,102000000.0,724371473.0368071,2058566.0798244376,722312906.9569826,622371473.0368071,0.7777186071895994,10.167212726913235,0.4398915032490558,0.27467107367679405,245263101.1009916,1.2026096916263274,1.8676424226242172,142,5
research061_cashgate1_top5,Research 061 Cash Gate 10.0%,10000000.0,102000000.0,714750293.2340312,2050920.9220413854,712699372.3119898,612750293.2340312,0.7719723940908445,9.901784328757023,0.4363154341133455,0.27467107367679405,241100579.93447617,1.1976625063851587,1.855182269248402,145,5
research061_cashgate125_top5,Research 061 Cash Gate 12.5%,10000000.0,102000000.0,732837887.0547374,2031690.701936985,730806196.3528005,630837887.0547374,0.7827200714324136,10.313919013562236,0.4430065193027306,0.27467107367679405,249524791.1765744,1.2061439256822708,1.87126522898804,138,5
research061_cashgate15_top5,Research 061 Cash Gate 15.0%,10000000.0,102000000.0,724371473.0368071,2058566.0798244376,722312906.9569826,622371473.0368071,0.7777186071895994,10.167212726913235,0.4398915032490558,0.27467107367679405,245263101.1009916,1.2026096916263274,1.8676424226242172,142,5
research061_cashgate175_top5,Research 061 Cash Gate 17.5%,10000000.0,102000000.0,715077173.1304452,2028871.989126736,713048301.1413186,613077173.1304452,0.7721687316079624,10.010884384711414,0.43643757234068103,0.27467107367679405,241092661.52135012,1.195620400414462,1.8570160117289563,136,5
research061_cashgate2_top5,Research 061 Cash Gate 20.0%,10000000.0,102000000.0,715077173.1304452,2028871.989126736,713048301.1413186,613077173.1304452,0.7721687316079624,10.010884384711414,0.43643757234068103,0.27467107367679405,241092661.52135012,1.195620400414462,1.8570160117289563,136,5
research061_cashgate225_top5,Research 061 Cash Gate 22.5%,10000000.0,102000000.0,715077173.1304452,2028871.989126736,713048301.1413186,613077173.1304452,0.7721687316079624,10.010884384711414,0.43643757234068103,0.27467107367679405,241092661.52135012,1.195620400414462,1.8570160117289563,136,5
research061_cashgate25_top5,Research 061 Cash Gate 25.0%,10000000.0,102000000.0,715077173.1304452,2028871.989126736,713048301.1413186,613077173.1304452,0.7721687316079624,10.010884384711414,0.43643757234068103,0.27467107367679405,241092661.52135012,1.195620400414462,1.8570160117289563,136,5
all_weather,올웨더 (25/25/25/25),10000000.0,102000000.0,236331973.40551445,8419972.096538352,227912001.30897608,134331973.40551445,0.3230014933625352,2.1547826911172128,0.16913729914310172,0.09460809641473084,17629843.472687937,1.13735997960095,1.6633921217141712,186,4
benchmark_kodex200,KODEX 200 (069500.KS),10000000.0,102000000.0,323651357.441225,104307.44122499433,323547050.0,221651357.441225,0.4461670155930914,2.0392925326306295,0.23954124573023683,0.19900737271306343,0.0,1.0045672212116945,1.3062161505051604,65,1
benchmark_qqq,QQQ (NASDAQ-100),10000000.0,102000000.0,212310000.17628372,734436.7256529509,211575563.45063075,110310000.17628372,0.2815185870853021,2.1927072179287173,0.14606201440924194,0.18559796757298794,0.0,0.6642620006015183,0.9455110642064791,65,1
