매수일,매수가(시가),종목명,티커,시장,비중(%),커버학회수,트리거학회,리포트날짜들,목표가들,매도일,매도가,보유일수,수익률(%),매도사유
2026-02-02,398000.0,알테오젠,196170,KR,5.0,2,kuvic|smic,2024-05-03|2024-08-15,242200.0,2026-03-02,407500.0,28,1.77,reversal_1mo_만기_no_open
2026-02-02,144500.0,알지노믹스,476830,KR,5.0,1,smic,2025-12-05,105000.0,2026-03-02,148000.0,28,1.81,reversal_1mo_만기_no_open
2026-02-02,18010.0,SK오션플랜트,100090,KR,5.0,2,ewha|star,2024-10-05|2025-08-07,20090.0|32100.0,2026-03-02,19300.0,28,6.52,reversal_1mo_만기_no_open
2026-02-02,68.76,ESTA,ESTA,US,5.0,1,smic,2025-11-21,118.76,2026-03-02,76.83,28,11.07,reversal_1mo_만기
2026-02-02,20400.0,IPARK현대산업개발,294870,KR,5.0,2,smic|star,2024-08-19|2024-10-12,31200.0|35600.0,2026-03-02,23150.0,28,12.8,reversal_1mo_만기_no_open
2026-02-02,409500.0,농심,004370,KR,5.0,1,star,2025-03-27,582000.0,2026-03-02,430000.0,28,4.38,reversal_1mo_만기_no_open
2026-02-02,34.8,IMAX,IMAX,US,5.0,1,smic,2025-11-21,54.6,2026-03-02,42.58,28,21.62,reversal_1mo_만기
2026-02-02,9990.0,고려신용정보,049720,KR,5.0,1,smic,2025-05-29,18600.0,2026-03-02,10550.0,28,4.97,reversal_1mo_만기_no_open
2026-01-02,60.21,TEM,TEM,US,5.0,1,smic,2025-05-16,228.5,2026-02-02,59.43,31,-1.89,reversal_1mo_만기
2026-01-02,20.5594,LEVI,LEVI,US,5.0,1,smic,2024-11-15,26.33,2026-02-02,19.5522,31,-5.47,reversal_1mo_만기
2025-12-01,71.25,CRWV,CRWV,US,5.0,1,smic,2025-10-17,,2026-01-02,73.93,32,3.14,reversal_1mo_만기
2025-12-01,250.0,LEU,LEU,US,5.0,2,smic|star,2024-05-17|2025-05-29,255.98,2026-01-02,247.85,32,-1.45,reversal_1mo_만기
2025-12-01,38500.0,SNT에너지,100840,KR,5.0,3,smic|star|yig,2022-12-02|2023-05-24|2025-04-11,12884.09|11505.28|47000.0,2026-01-02,36800.0,32,-4.99,reversal_1mo_만기
2025-12-01,19300.0,마이크로컨텍솔,098120,KR,5.0,1,smic,2025-10-17,58200.0,2026-01-02,16800.0,32,-13.47,reversal_1mo_만기
2025-12-01,31500.0,지엔씨에너지,119850,KR,5.0,3,smic|star|yig,2025-02-20|2025-04-11|2025-08-01,32000.0|39610.0,2026-01-02,31650.0,32,-0.13,reversal_1mo_만기
2025-12-01,65500.0,와이지엔터테인먼트,122870,KR,5.0,1,star,2024-12-05,62900.0,2026-01-02,72400.0,32,9.87,reversal_1mo_만기
2025-12-01,27400.0,한국카본,017960,KR,5.0,3,ewha|smic|star,2024-09-26|2024-10-11|2025-10-31,18100.0|64000.0,2026-01-02,29850.0,32,8.29,reversal_1mo_만기
2025-12-01,23900.0,태웅,044490,KR,5.0,2,kuvic|smic,2023-05-05|2025-06-26,28600.0|48000.0,2026-01-02,25800.0,32,7.3,reversal_1mo_만기
2025-12-01,379500.0,LIG디펜스앤에어로스페이스,079550,KR,5.0,2,star|voera,2024-07-04|2025-02-26,267000.0|350000.0,2026-01-02,423500.0,32,10.93,reversal_1mo_만기
2025-12-01,45431.0,코미코,183300,KR,5.0,2,star|yig,2025-07-24|2025-09-24,87900.0|138000.0,2026-01-02,44819.0,32,-1.94,reversal_1mo_만기
2025-12-01,22450.0,노머스,473980,KR,5.0,1,smic,2025-04-11,37950.0,2026-01-02,29150.0,32,29.07,reversal_1mo_만기
2025-12-01,174400.0,현대로템,064350,KR,5.0,2,star|yig,2025-03-27|2025-04-11,157500.0|137300.0,2026-01-02,189200.0,32,7.84,reversal_1mo_만기
