매수일,매수가(시가),매수사유,종목명,티커,시장,비중(%),커버학회수,트리거학회,리포트날짜들,목표가들,매도일,매도가,보유일수,수익률(%),매도사유
2021-08-23,81055.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: ewha 2021-08-21)",OCI홀딩스,010060,KR,5.0,2,ewha,2021-08-21,113156.0,2021-10-08,112444.0,46,175.79,rr_stop
2021-09-29,156544.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: ewha 2021-09-28)",포스코퓨처엠,003670,KR,5.0,2,ewha,2021-09-28,192000.0,2021-10-08,160421.0,9,103.73,rr_stop
2021-09-16,153800.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: voera 2021-09-15)",SOOP,067160,KR,5.0,3,voera,2021-09-15,185200.0,2021-09-30,144100.0,14,-6.87,rr_stop
2021-09-13,431500.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: ewha 2021-09-11, voera 2020-05-17)",CJ제일제당,097950,KR,5.0,2,ewha|voera,2020-05-17|2021-09-11,395000.0|551000.0,2021-09-29,411000.0,16,-5.32,rr_stop
2021-09-29,156544.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: ewha 2021-09-28)",포스코퓨처엠,003670,KR,5.0,2,ewha,2021-09-28,192000.0,2021-09-29,173506.5,0,10.17,rr_half_+2.5R
2021-08-23,144400.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: ewha 2021-08-21)",CJ ENM,035760,KR,5.0,1,ewha,2021-08-21,200300.0,2021-09-23,155912.5,31,7.33,rr_half_+2.5R
2021-08-23,83000.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: ewha 2021-08-21, voera 2020-09-04)",스튜디오드래곤,253450,KR,5.0,3,ewha|voera,2020-09-04|2021-08-21,116000.0,2021-09-17,82400.0,25,97.36,rr_stop
2021-08-23,254000.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: ewha 2021-08-21)",현대모비스,012330,KR,5.0,2,ewha,2021-08-21,356000.0,2021-09-14,266000.0,22,108.19,rr_stop
2021-08-23,428000.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: ewha 2021-08-21, voera 2021-05-14, smic 2020-06-09)",NAVER,035420,KR,5.0,3,ewha|smic|voera,2020-06-09|2021-05-14|2021-08-21,300766.0|525000.0|550000.0,2021-09-09,400500.0,17,-6.99,rr_stop
2021-08-23,254000.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: ewha 2021-08-21)",현대모비스,012330,KR,5.0,2,ewha,2021-08-21,356000.0,2021-08-26,267625.0,3,4.73,rr_half_+2.5R
2021-08-23,83000.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: ewha 2021-08-21, voera 2020-09-04)",스튜디오드래곤,253450,KR,5.0,3,ewha|voera,2020-09-04|2021-08-21,116000.0,2021-08-26,87150.0,3,4.37,rr_half_+2.5R
2021-08-23,81055.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: ewha 2021-08-21)",OCI홀딩스,010060,KR,5.0,2,ewha,2021-08-21,113156.0,2021-08-25,89646.875,2,9.94,rr_half_+2.5R
2021-05-17,69700.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: voera 2021-05-14, ewha 2020-08-22)",씨에스윈드,112610,KR,5.0,6,ewha|voera,2020-08-22|2021-05-14,107000.0|90900.0,2021-08-03,80300.0,78,129.04,rr_stop
2021-05-07,7600.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: smic 2021-05-06)",쌍용C&E,003410,KR,5.0,1,smic,2021-05-06,11897.51,2021-07-12,8140.0,66,112.93,rr_stop
2021-06-07,34500.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: smic 2021-06-06, ewha 2021-04-10)",에스엘,005850,KR,5.0,3,ewha|smic,2021-04-10|2021-06-06,50000.0,2021-07-12,32850.0,35,-5.35,rr_stop
2021-06-07,51800.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: smic 2021-06-06)",콘텐트리중앙,036420,KR,5.0,1,smic,2021-06-06,74500.0,2021-06-28,48400.0,21,-7.12,rr_stop
2021-05-17,345500.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: voera 2021-05-14, smic 2020-06-09)",NAVER,035420,KR,5.0,3,smic|voera,2020-06-09|2021-05-14,300766.0|525000.0,2021-06-24,430000.0,38,147.42,rr_stop
2021-05-07,63700.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: smic 2021-05-06)",KCC글라스,344820,KR,5.0,1,smic,2021-05-06,108000.0,2021-06-23,61900.0,47,-3.41,rr_stop
2021-06-07,15300.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: smic 2021-06-06)",LG유플러스,032640,KR,5.0,1,smic,2021-06-06,26450.0,2021-06-22,15100.0,15,-1.9,rr_stop
2021-06-07,733000.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: smic 2021-06-06)",효성티앤씨,298020,KR,5.0,3,smic,2021-06-06,975000.0,2021-06-10,715000.0,3,-3.04,rr_stop
2021-05-07,7600.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: smic 2021-05-06)",쌍용C&E,003410,KR,5.0,1,smic,2021-05-06,11897.51,2021-06-08,8106.25,32,6.02,rr_half_+2.5R
2021-06-01,38.5291,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: smic 2021-05-31)",GLW,GLW,US,5.0,1,smic,2021-05-31,57.0,2021-06-03,37.4393,2,-3.16,rr_stop
2021-06-01,72.5669,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: smic 2021-05-31)",WFG,WFG,US,5.0,1,smic,2021-05-31,137.0,2021-06-03,69.7784,2,-4.17,rr_stop
