매수일,매수가(시가),매수사유,종목명,티커,시장,비중(%),커버학회수,트리거학회,리포트날짜들,목표가들,매도일,매도가,보유일수,수익률(%),매도사유
2021-09-13,18700.0,학회 매수리포트 발간 → 익일 시가 진입 (KOSPI 파킹 매도 후 전환) (트리거: ewha 2021-09-11),KG이니시스,035600,KR,5.0,1,ewha,2021-09-11,23945.0,2021-11-29,16450.0,77,-12.6,t_chandelier_ATR4.25
2021-08-23,64700.0,학회 매수리포트 발간 → 익일 시가 진입 (KOSPI 파킹 매도 후 전환) (트리거: ewha 2021-08-21),롯데정밀화학,004000,KR,5.0,1,ewha,2021-08-21,105575.0,2021-11-08,82300.0,77,26.38,t_chandelier_ATR4.25
2021-08-23,144400.0,학회 매수리포트 발간 → 익일 시가 진입 (KOSPI 파킹 매도 후 전환) (트리거: ewha 2021-08-21),CJ ENM,035760,KR,5.0,1,ewha,2021-08-21,200300.0,2021-11-04,167200.0,73,15.04,t_chandelier_ATR4.25
2021-08-23,81055.0,학회 매수리포트 발간 → 익일 시가 진입 (KOSPI 파킹 매도 후 전환) (트리거: ewha 2021-08-21),OCI홀딩스,010060,KR,5.0,2,ewha,2021-08-21,113156.0,2021-10-28,111252.0,66,36.36,t_chandelier_ATR4.25
2021-09-29,156544.0,학회 매수리포트 발간 → 익일 시가 진입 (KOSPI 파킹 매도 후 전환) (트리거: ewha 2021-09-28),포스코퓨처엠,003670,KR,5.0,2,ewha,2021-09-28,192000.0,2021-10-25,142488.0,26,-9.57,t_chandelier_ATR4.25
2021-09-13,431500.0,"학회 매수리포트 발간 → 익일 시가 진입 (KOSPI 파킹 매도 후 전환) (트리거: ewha 2021-09-11, voera 2020-05-17)",CJ제일제당,097950,KR,5.0,2,ewha|voera,2020-05-17|2021-09-11,395000.0|551000.0,2021-10-07,391000.0,24,-9.97,t_chandelier_ATR4.25
2021-08-23,71900.0,학회 매수리포트 발간 → 익일 시가 진입 (KOSPI 파킹 매도 후 전환) (트리거: ewha 2021-08-21),코오롱인더,120110,KR,5.0,3,ewha,2021-08-21,90876.0,2021-10-07,90800.0,45,25.47,t_chandelier_ATR4.25
2021-08-23,40050.0,학회 매수리포트 발간 → 익일 시가 진입 (KOSPI 파킹 매도 후 전환) (트리거: ewha 2021-08-21),디앤씨미디어,263720,KR,5.0,1,ewha,2021-08-21,65700.0,2021-10-07,36550.0,45,-9.33,t_chandelier_ATR4.25
2021-08-23,254000.0,학회 매수리포트 발간 → 익일 시가 진입 (KOSPI 파킹 매도 후 전환) (트리거: ewha 2021-08-21),현대모비스,012330,KR,5.0,2,ewha,2021-08-21,356000.0,2021-09-29,247000.0,37,-3.39,t_chandelier_ATR4.25
2021-08-18,1479245.0,학회 매수리포트 발간 → 익일 시가 진입 (KOSPI 파킹 매도 후 전환) (트리거: voera 2021-08-17),삼성바이오로직스,207940,KR,5.0,2,voera,2021-08-17,,2021-09-29,1242159.0,42,-16.57,t_chandelier_ATR4.25
