매수일,매수가(시가),매수사유,종목명,티커,시장,비중(%),커버학회수,트리거학회,리포트날짜들,목표가들,매도일,매도가,보유일수,수익률(%),매도사유
2024-12-02,8800.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: yig 2024-11-29, smic 2024-05-09)",롯데관광개발,032350,KR,5.0,4,smic|yig,2024-05-09|2024-11-29,19220.0|16780.0,2025-01-02,7650.0,31,72.82,runner_thesis_break_200MA
2023-02-09,4840.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: ewha 2023-02-08),원텍,336570,KR,5.0,2,ewha,2023-02-08,6200.0,2024-12-02,4255.0,662,-12.61,runner_thesis_break_200MA
2024-09-30,853.8034,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: yig 2024-09-28, smic 2023-11-22)",LLY,LLY,US,5.0,2,smic|yig,2023-11-22|2024-09-28,745.2|1390.0,2024-12-02,789.522,63,96.55,runner_thesis_break_200MA
2024-08-16,294000.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: kuvic 2024-08-15, smic 2024-05-09)",알테오젠,196170,KR,5.0,2,kuvic|smic,2024-05-09|2024-08-15,242200.0,2024-12-02,283500.0,108,-4.15,runner_thesis_break_200MA
2023-09-11,47650.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: star 2023-09-08),경동나비엔,009450,KR,5.0,3,star,2023-09-08,80300.0,2024-10-11,79800.0,396,66.47,목표가_절반익절
2024-05-08,107100.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: star 2024-05-07),세방전지,004490,KR,5.0,1,star,2024-05-07,106000.0,2024-10-02,83500.0,147,-22.5,runner_thesis_break_200MA
2023-06-12,19271.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: smic 2023-06-09, ewha 2021-10-09)",DI동일,001530,KR,5.0,2,ewha|smic,2021-10-09|2023-06-09,30700.0,2024-09-20,30700.0,466,58.35,목표가_절반익절
2024-08-16,294000.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: kuvic 2024-08-15, smic 2024-05-09)",알테오젠,196170,KR,5.0,2,kuvic|smic,2024-05-09|2024-08-15,242200.0,2024-08-16,242200.0,0,-18.11,목표가_절반익절
2024-07-01,204500.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: yig 2024-06-28, smic 2023-10-19, star 2023-03-01, ewha 2023-02-08, voera 2022-05-28)",하이브,352820,KR,5.0,6,ewha|smic|star|voera|yig,2023-10-19|2022-05-28|2023-02-08|2023-03-01|2024-06-28,334500.0|381500.0|229500.0|223000.0|400500.0,2024-08-01,174300.0,31,69.44,runner_thesis_break_200MA
2024-06-03,11740.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: ewha 2024-06-01, star 2024-03-11)",비에이치아이,083650,KR,5.0,4,ewha|star,2024-03-11|2024-06-01,10440.0|15150.0,2024-08-01,9050.0,59,53.25,runner_thesis_break_200MA
