매수일,매수가(시가),매수사유,종목명,티커,시장,비중(%),커버학회수,트리거학회,리포트날짜들,목표가들,매도일,매도가,보유일수,수익률(%),매도사유
2024-05-20,115000.0,"리포트 발간 시점 슈퍼트렌드(10,3) 상방 → 익일 시가 진입 (트리거: voera 2024-05-17, kuvic 2024-02-28)",CJ대한통운,000120,KR,5.0,2,kuvic|voera,2024-02-28|2024-05-17,179500.0,2024-05-22,111400.0,2,-3.71,supertrend_bearish_flip
2024-04-15,46150.0,"리포트 발간 시점 슈퍼트렌드(10,3) 상방 → 익일 시가 진입 (트리거: kuvic 2024-04-12, smic 2023-12-06)",동진쎄미켐,005290,KR,5.0,2,kuvic|smic,2023-12-06|2024-04-12,62950.0|85300.0,2024-05-21,43800.0,36,-5.66,supertrend_bearish_flip
2024-05-08,6650.0,"리포트 발간 후 3개월 내 슈퍼트렌드(10,3) 상방 전환 → 익일 시가 진입 (트리거: kuvic 2024-02-28)",한국컴퓨터,054040,KR,5.0,1,kuvic,2024-02-28,15140.0,2024-05-20,5850.0,12,-12.56,supertrend_bearish_flip
2023-11-07,60100.0,"리포트 발간 후 3개월 내 슈퍼트렌드(10,3) 상방 전환 → 익일 시가 진입 (트리거: star 2023-09-08, smic 2021-12-13)",엔켐,348370,KR,5.0,2,smic|star,2021-12-13|2023-09-08,174900.0|114000.0,2024-05-07,269000.0,182,344.91,supertrend_bearish_flip
2024-03-12,4312.0,"리포트 발간 시점 슈퍼트렌드(10,3) 상방 → 익일 시가 진입 (트리거: star 2024-03-11, yig 2023-08-10, smic 2023-04-13)",글로벌텍스프리,204620,KR,5.0,3,smic|star|yig,2023-04-13|2023-08-10|2024-03-11,3800.0|8370.0|5200.0,2024-04-23,3894.0,42,-10.23,supertrend_bearish_flip
2024-03-12,35400.0,"리포트 발간 시점 슈퍼트렌드(10,3) 상방 → 익일 시가 진입 (트리거: star 2024-03-11)",오로스테크놀로지,322310,KR,5.0,2,star,2024-03-11,48200.0,2024-04-22,29400.0,41,-17.45,supertrend_bearish_flip
2024-03-12,6089.0,"리포트 발간 시점 슈퍼트렌드(10,3) 상방 → 익일 시가 진입 (트리거: star 2024-03-11)",스튜디오미르,408900,KR,5.0,1,star,2024-03-11,8206.15,2024-04-19,8230.0,38,34.35,supertrend_bearish_flip
2024-04-08,21850.0,"리포트 발간 시점 슈퍼트렌드(10,3) 상방 → 익일 시가 진입 (트리거: ewha 2024-04-06, kuvic 2024-04-05, star 2022-10-31)",하이비젼시스템,126700,KR,5.0,3,ewha|kuvic|star,2022-10-31|2024-04-05|2024-04-06,31420.0,2024-04-18,20650.0,10,-6.06,supertrend_bearish_flip
2024-04-02,21050.0,"리포트 발간 후 3개월 내 슈퍼트렌드(10,3) 상방 전환 → 익일 시가 진입 (트리거: ewha 2024-02-16)",두산퓨얼셀,336260,KR,5.0,1,ewha,2024-02-16,32100.0,2024-04-12,19190.0,10,-9.38,supertrend_bearish_flip
2024-01-24,22300.0,"리포트 발간 후 3개월 내 슈퍼트렌드(10,3) 상방 전환 → 익일 시가 진입 (트리거: ewha 2024-01-20)",제우스,079370,KR,5.0,1,ewha,2024-01-20,70800.0,2024-04-09,17050.0,76,-24.0,supertrend_bearish_flip
