매수일,매수가(시가),매수사유,종목명,티커,시장,비중(%),커버학회수,트리거학회,리포트날짜들,목표가들,매도일,매도가,보유일수,수익률(%),매도사유
2021-03-11,6210.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: ewha 2021-03-10),팬오션,028670,KR,5.0,1,ewha,2021-03-10,6436.0,2021-11-01,5950.0,235,-4.76,thesis_break_200MA
2020-08-24,48150.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: ewha 2020-08-21),LIG아큐버,073490,KR,5.0,2,ewha,2020-08-21,59900.0,2021-03-02,46250.0,190,-4.52,thesis_break_200MA
2020-05-07,16400.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: smic 2020-05-06),펌텍코리아,251970,KR,5.0,3,smic,2020-05-06,20224.0,2020-10-05,15300.0,151,-7.27,thesis_break_200MA
2020-05-07,36574.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: smic 2020-05-06),에치에프알,230240,KR,5.0,2,smic,2020-05-06,45900.0,2020-10-05,35235.0,151,-4.24,thesis_break_200MA
2020-05-15,13115.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: voera 2020-05-14),제주항공,089590,KR,5.0,2,voera,2020-05-14,20000.0,2020-08-03,13083.0,80,-0.84,thesis_break_200MA
2020-05-15,240500.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: voera 2020-05-14),신세계,004170,KR,5.0,2,voera,2020-05-14,278000.0,2020-07-01,223000.0,47,-7.83,thesis_break_200MA
2020-01-02,8500.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: smic 2019-12-18),KZ정밀,036560,KR,5.0,1,smic,2019-12-18,15670.0,2020-04-01,5730.0,90,-32.99,thesis_break_200MA
2020-01-02,22050.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: smic 2019-11-05),비에이치,090460,KR,5.0,3,smic,2019-11-05,45300.0,2020-04-01,15450.0,90,-30.35,thesis_break_200MA
2020-03-02,1235000.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: voera 2020-02-28),LG생활건강,051900,KR,5.0,1,voera,2020-02-28,,2020-04-01,1120000.0,30,-9.86,thesis_break_200MA
2020-01-02,262500.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: smic 2019-12-18),SK,034730,KR,5.0,1,smic,2019-12-18,367000.0,2020-04-01,163500.0,90,-38.09,thesis_break_200MA
2020-01-02,17777.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: smic 2019-11-05),동국제약,086450,KR,5.0,1,smic,2019-11-05,20175.56,2020-04-01,15315.0,90,-14.37,thesis_break_200MA
2020-01-02,12000.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: smic 2019-08-11),디와이피엔에프,104460,KR,5.0,2,smic,2019-08-11,12600.0,2020-04-01,8440.0,90,-30.09,thesis_break_200MA
2020-01-02,27700.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: smic 2019-08-11),콜마비앤에이치,200130,KR,5.0,1,smic,2019-08-11,34500.0,2020-04-01,23150.0,90,-16.93,thesis_break_200MA
2020-01-02,21780.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: smic 2019-11-05),코윈테크,282880,KR,5.0,2,smic,2019-11-05,41100.0,2020-04-01,15318.0,90,-30.09,thesis_break_200MA
2020-01-02,7780.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: smic 2019-08-11),덱스터,206560,KR,5.0,1,smic,2019-08-11,11700.0,2020-03-02,6150.0,60,-21.42,thesis_break_200MA
2020-01-02,23500.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: smic 2019-08-11),지노믹트리,228760,KR,5.0,2,smic,2019-08-11,,2020-03-02,17250.0,60,-27.04,thesis_break_200MA
2020-01-02,8466.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: smic 2019-08-11),이엠텍,091120,KR,5.0,1,smic,2019-08-11,19500.0,2020-03-02,7870.0,60,-7.6,thesis_break_200MA
2020-01-02,16100.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: smic 2019-11-05),에코마케팅,230360,KR,5.0,2,smic,2019-11-05,52500.0,2020-03-02,13075.0,60,-19.28,thesis_break_200MA
2020-01-02,15700.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: smic 2019-11-05),삼양패키징,272550,KR,5.0,2,smic,2019-11-05,23687.0,2020-03-02,15300.0,60,-3.13,thesis_break_200MA
2020-01-02,33350.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: yig 2019-11-01),한국타이어앤테크놀로지,161390,KR,5.0,3,yig,2019-11-01,71500.0,2020-02-03,28300.0,32,-15.65,thesis_break_200MA
2020-01-02,111500.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: smic 2019-08-11),HS효성첨단소재,298050,KR,5.0,3,smic,2019-08-11,143300.0,2020-02-03,97200.0,32,-13.35,thesis_break_200MA
2020-01-02,3057.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: smic 2019-12-24),세진중공업,075580,KR,5.0,3,smic,2019-12-24,,2020-02-03,2639.0,32,-14.19,thesis_break_200MA
