매수일,매수가(시가),매수사유,종목명,티커,시장,비중(%),커버학회수,트리거학회,리포트날짜들,목표가들,매도일,매도가,보유일수,수익률(%),매도사유
2026-04-01,21250.0,hrp 월간 리밸런스 — 목표비중 0.7% 신규 편입 (18개월 유효 리포트 유니버스),엠씨넥스,097520,KR,5.0,1,ewha|star,2021-02-20|2025-08-31,70000.0|43700.0,2026-06-01,21900.0,61,2.44,s_rebalance_trim
2026-04-01,58300.0,hrp 월간 리밸런스 — 목표비중 0.3% 신규 편입 (18개월 유효 리포트 유니버스),에스엘,005850,KR,5.0,1,ewha|smic|star,2026-01-24|2021-06-06|2023-04-22,82300.0|50000.0|39000.0,2026-06-01,73600.0,61,25.49,s_rebalance_trim
2025-11-03,89.0522,hrp 월간 리밸런스 — 목표비중 1.2% 재조정 보유,GLW,GLW,US,5.0,1,smic,2025-10-23,144.0,2026-06-01,176.11,210,35.46,s_rebalance_trim
2026-04-01,193800.0,hrp 월간 리밸런스 — 목표비중 0.1% 신규 편입 (18개월 유효 리포트 유니버스),OCI홀딩스,010060,KR,5.0,1,ewha|yig,2021-08-21|2026-01-01,113156.0|159300.0,2026-06-01,360000.0,61,84.65,s_rebalance_trim
2026-02-02,61800.0,hrp 월간 리밸런스 — 목표비중 0.5% 재조정 보유,HL만도,204320,KR,5.0,1,ewha|star|voera,2025-02-21|2025-01-09|2025-05-09,57950.0|57500.0|47500.0,2026-06-01,63000.0,119,16.96,s_rebalance_trim
2026-04-01,150500.0,hrp 월간 리밸런스 — 목표비중 0.4% 신규 편입 (18개월 유효 리포트 유니버스),에스티팜,237690,KR,5.0,1,ewha|smic|star|yig,2024-04-17|2024-09-11|2025-08-22|2024-11-07,114301.0|128500.0|133700.0|160000.0,2026-06-01,132000.0,61,-12.82,s_rebalance_trim
2026-04-01,435000.0,hrp 월간 리밸런스 — 목표비중 0.2% 신규 편입 (18개월 유효 리포트 유니버스),삼성전기,009150,KR,5.0,1,ewha|star|yig,2025-12-12|2025-04-04|2025-10-14,309000.0|187900.0|297800.0,2026-06-01,2021000.0,61,361.81,s_rebalance_trim
2026-04-01,22600.0,hrp 월간 리밸런스 — 목표비중 0.2% 신규 편입 (18개월 유효 리포트 유니버스),PI첨단소재,178920,KR,5.0,1,ewha,2025-04-04,23510.0,2026-06-01,24300.0,61,6.88,s_rebalance_trim
2026-04-01,62900.0,hrp 월간 리밸런스 — 목표비중 0.8% 신규 편입 (18개월 유효 리포트 유니버스),JYP Ent.,035900,KR,5.0,1,ewha|smic|star,2024-12-05|2022-08-13|2025-03-10,116604.0|75100.0|114500.0,2026-06-01,56800.0,61,-10.24,s_rebalance_trim
2026-04-01,532000.0,hrp 월간 리밸런스 — 목표비중 0.2% 신규 편입 (18개월 유효 리포트 유니버스),한미약품,128940,KR,5.0,1,ewha|star|yig,2025-01-24|2025-08-01|2025-08-31,360500.0|516900.0|406000.0,2026-06-01,570000.0,61,6.5,s_rebalance_trim
