매수일,매수가(시가),매수사유,종목명,티커,시장,비중(%),커버학회수,트리거학회,리포트날짜들,목표가들,매도일,매도가,보유일수,수익률(%),매도사유
2023-08-11,4033.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: yig 2023-08-10, smic 2023-04-13)",글로벌텍스프리,204620,KR,5.0,3,smic|yig,2023-04-13|2023-08-10,3800.0|8370.0,2023-10-11,4599.0,61,13.35,chandelier_ATR5
2023-08-21,404688.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: star 2023-08-20, ewha 2021-09-28)",포스코퓨처엠,003670,KR,5.0,2,ewha|star,2021-09-28|2023-08-20,192000.0|650000.0,2023-10-04,341683.0,44,-16.07,chandelier_ATR5
2023-08-21,1134714.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: star 2023-08-20, voera 2021-08-17)",삼성바이오로직스,207940,KR,5.0,2,star|voera,2021-08-17|2023-08-20,1307000.0,2023-09-26,1019918.0,36,-10.66,chandelier_ATR5
2023-05-12,18330.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: smic 2023-05-11),태광,023160,KR,5.0,2,smic,2023-05-11,28840.0,2023-09-25,18100.0,136,-1.85,chandelier_ATR5
2023-02-09,77000.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: ewha 2023-02-08),파마리서치,214450,KR,5.0,6,ewha,2023-02-08,107000.0,2023-09-22,116600.0,225,50.52,chandelier_ATR5
2023-02-09,4840.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: ewha 2023-02-08),원텍,336570,KR,5.0,2,ewha,2023-02-08,6200.0,2023-09-22,10760.0,225,120.98,chandelier_ATR5
2022-11-14,5737.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: smic 2022-11-13),이수페타시스,007660,KR,5.0,3,smic,2022-11-13,7600.0,2023-09-14,27959.0,304,384.43,chandelier_ATR5
2023-05-19,13660.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: kuvic 2023-05-18),한스바이오메드,042520,KR,5.0,1,kuvic,2023-05-18,31500.0,2023-08-29,21100.0,102,53.54,chandelier_ATR5
2023-02-13,14720.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: ewha 2023-02-11),케이엔제이,272110,KR,5.0,1,ewha,2023-02-11,18100.0,2023-08-28,20350.0,196,37.42,chandelier_ATR5
2023-04-10,11710.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: ewha 2023-04-08),아비코전자,036010,KR,5.0,1,ewha,2023-04-08,15070.0,2023-08-16,13980.0,128,18.67,chandelier_ATR5
2023-05-12,14070.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: smic 2023-05-11),태웅,044490,KR,5.0,3,smic,2023-05-11,28600.0,2023-08-08,16120.0,88,13.88,chandelier_ATR5
2023-04-10,8630.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: ewha 2023-04-08),레이크머티리얼즈,281740,KR,5.0,1,ewha,2023-04-08,10900.0,2023-08-08,17400.0,120,100.41,chandelier_ATR5
2023-02-09,198000.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: ewha 2023-02-08, voera 2022-05-28, smic 2021-11-19)",하이브,352820,KR,5.0,6,ewha|smic|voera,2021-11-19|2022-05-28|2023-02-08,628000.0|381500.0|229500.0,2023-08-04,249000.0,176,25.0,chandelier_ATR5
2023-02-14,81332.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: ewha 2023-02-13),현대글로비스,086280,KR,5.0,1,ewha,2023-02-13,250000.0,2023-08-01,87183.0,168,6.55,chandelier_ATR5
2023-05-04,47700.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: voera 2023-05-03, star 2023-04-22)",티앤엘,340570,KR,5.0,4,star|voera,2023-04-22|2023-05-03,63300.0|105000.0,2023-07-28,46000.0,85,-4.14,chandelier_ATR5
2023-02-15,27250.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: star 2023-02-14, smic 2022-12-08)",삼성E&A,028050,KR,5.0,2,smic|star,2022-12-08|2023-02-14,33800.0|35250.0,2023-06-15,27500.0,120,0.31,chandelier_ATR5
2022-11-01,15750.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: star 2022-10-31, smic 2019-11-05)",삼양패키징,272550,KR,5.0,2,smic|star,2019-11-05|2022-10-31,23687.0|25800.0,2023-05-17,17300.0,197,9.18,chandelier_ATR5
2022-11-01,37419.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: star 2022-10-31, ewha 2021-05-22)",비나텍,126340,KR,5.0,3,ewha|star,2021-05-22|2022-10-31,51800.0|65400.0,2023-05-10,56011.0,190,48.79,chandelier_ATR5
2022-11-14,12500.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: smic 2022-11-13),이랜텍,054210,KR,5.0,1,smic,2022-11-13,17500.0,2023-05-08,12600.0,175,0.2,chandelier_ATR5
2022-05-26,29.0493,학회 매수리포트 발간 → 익일 시가 진입 (트리거: smic 2022-05-25),STNG,STNG,US,5.0,1,smic,2022-05-25,44.66,2023-05-02,47.4376,341,62.32,chandelier_ATR5
