매수일,매수가(시가),매수사유,종목명,티커,시장,비중(%),커버학회수,트리거학회,리포트날짜들,목표가들,매도일,매도가,보유일수,수익률(%),매도사유
2020-03-20,144.95,발간일(2019-12-24) 종가 대비 −20% 하락 도달 → 익일 시가 진입 (딥바이),ALGN,ALGN,US,5.0,1,smic,2019-12-24,360.76,2020-04-29,217.425,40,44.77,dip_+50pct
2020-03-25,4935.0,발간일(2019-12-24) 종가 대비 −20% 하락 도달 → 익일 시가 진입 (딥바이),노루페인트,090350,KR,5.0,1,smic,2019-12-24,11755.0,2020-04-21,7140.0,27,43.81,dip_+50pct
2020-03-23,11682.0,발간일(2019-11-05) 종가 대비 −20% 하락 도달 → 익일 시가 진입 (딥바이),코윈테크,282880,KR,5.0,2,smic,2019-11-05,41100.0,2020-04-06,17523.0,14,49.1,dip_+50pct
2020-03-23,109000.0,발간일(2019-12-18) 종가 대비 −20% 하락 도달 → 익일 시가 진입 (딥바이),SK,034730,KR,5.0,1,smic,2019-12-18,367000.0,2020-03-27,161500.0,4,47.28,dip_+50pct
2020-03-23,8150.0,발간일(2019-12-24) 종가 대비 −20% 하락 도달 → 익일 시가 진입 (딥바이),대정화금,120240,KR,5.0,1,smic,2019-12-24,34000.0,2020-03-27,12225.0,4,49.1,dip_+50pct
2020-03-20,21050.0,발간일(2019-12-24) 종가 대비 −20% 하락 도달 → 익일 시가 진입 (딥바이),미스토홀딩스,081660,KR,5.0,1,smic,2019-12-24,69400.0,2020-03-26,29800.0,6,40.72,dip_+50pct
2020-03-20,1157.0,발간일(2019-12-24) 종가 대비 −20% 하락 도달 → 익일 시가 진입 (딥바이),세진중공업,075580,KR,5.0,3,smic,2019-12-24,,2020-03-25,1735.5,5,49.1,dip_+50pct
2020-03-20,5349.0,발간일(2019-12-18) 종가 대비 −20% 하락 도달 → 익일 시가 진입 (딥바이),비츠로셀,082920,KR,5.0,3,smic,2019-12-18,16829.0,2020-03-25,7696.0,5,43.02,dip_+50pct
2020-03-17,5050.0,발간일(2019-12-24) 종가 대비 −20% 하락 도달 → 익일 시가 진입 (딥바이),노루페인트,090350,KR,5.0,1,smic,2019-12-24,11755.0,2020-03-24,4550.0,7,-10.44,dip_atr3_stop
2020-03-17,138000.0,발간일(2019-12-18) 종가 대비 −20% 하락 도달 → 익일 시가 진입 (딥바이),SK,034730,KR,5.0,1,smic,2019-12-18,367000.0,2020-03-20,113000.0,3,-18.61,dip_atr3_stop
