매수일,매수가(시가),종목명,티커,시장,비중(%),커버학회수,트리거학회,리포트날짜들,목표가들,매도일,매도가,보유일수,수익률(%),매도사유
2024-09-27,194500.0,파마리서치,214450,KR,5.0,6,ewha|smic|star|yig,2023-02-08|2023-04-07|2024-09-14|2024-09-26,107000.0|111300.0|245000.0|250000.0,2025-06-10,520000.0,256,165.62,u_scaleout1_ext8.7x
2025-04-07,12287.0,LS마린솔루션,060370,KR,5.0,1,ewha,2025-04-04,21130.0,2025-06-09,22775.0,63,84.16,u_scaleout1_ext9.1x
2025-03-17,10390.0,팅크웨어,084730,KR,5.0,1,yig,2025-03-14,14639.07,2025-05-19,9110.0,63,-12.89,u_chandelier_ATR5.5
2025-01-03,17320.0,에스티아이,039440,KR,5.0,3,ewha|star,2024-07-24|2025-01-02,41450.0|22000.0,2025-04-10,18850.0,97,8.13,u_chandelier_ATR5.5
2024-11-04,248500.0,현대모비스,012330,KR,5.0,2,ewha|smic,2021-08-21|2024-11-01,356000.0|386100.0,2025-04-09,237500.0,156,-5.05,u_chandelier_ATR5.5
2024-11-15,15540.0,비에이치아이,083650,KR,5.0,4,ewha|kuvic|star,2024-03-11|2024-05-31|2024-11-14,10440.0|15150.0|16190.0,2025-04-07,15910.0,143,1.72,u_chandelier_ATR5.5
2024-11-25,3740.0,삼영,003720,KR,5.0,3,ewha|kuvic|star,2023-09-23|2024-10-07|2024-11-22,7820.0|7900.0,2025-04-04,3660.0,130,-2.77,u_chandelier_ATR5.5
2025-01-03,27450.0,덕산네오룩스,213420,KR,5.0,4,ewha|star|yig,2024-04-05|2025-01-02|2024-06-02,53200.0|48200.0|58500.0,2025-04-01,27200.0,88,-1.55,u_chandelier_ATR5.5
2025-01-17,75600.0,JYP Ent.,035900,KR,5.0,3,ewha|smic|star,2024-11-30|2022-08-13|2025-01-16,116604.0|75100.0|114500.0,2025-03-19,63000.0,61,-17.21,u_chandelier_ATR5.5
2024-11-21,22800.0,일진전기,103590,KR,5.0,2,ewha|yig,2024-11-14|2024-11-20,36900.0|42450.0,2025-03-12,27250.0,111,18.74,u_chandelier_ATR5.5
2024-09-27,247000.0,휴젤,145020,KR,5.0,4,star|voera,2023-01-02|2024-09-26,387000.0|317500.0,2025-01-16,259500.0,111,4.38,u_chandelier_ATR5.5
2024-10-14,96200.0,SOOP,067160,KR,5.0,3,ewha|smic|voera,2021-09-15|2022-02-12|2024-10-11,185200.0|173000.0|182500.0,2025-01-15,92800.0,93,-4.16,u_chandelier_ATR5.5
2024-11-04,23050.0,한국전력,015760,KR,5.0,2,smic,2024-11-01,37630.0,2024-12-23,20450.0,49,-11.86,u_chandelier_ATR5.5
2024-09-27,11240.0,한국카본,017960,KR,5.0,3,star,2024-09-26,18100.0,2024-12-10,9500.0,74,-16.03,u_chandelier_ATR5.5
2024-08-16,294000.0,알테오젠,196170,KR,5.0,2,kuvic|smic,2024-05-03|2024-08-15,242200.0,2024-11-25,309500.0,101,4.59,u_chandelier_ATR5.5
2024-09-27,108100.0,SK바이오팜,326030,KR,5.0,2,star,2024-09-26,151000.0,2024-11-20,98300.0,54,-9.66,u_chandelier_ATR5.5
2024-11-15,15540.0,비에이치아이,083650,KR,5.0,4,ewha|kuvic|star,2024-03-11|2024-05-31|2024-11-14,10440.0|15150.0|16190.0,2024-11-19,17920.0,4,14.57,u_scaleout1_ext9.2x
2024-11-06,60900.0,씨에스윈드,112610,KR,5.0,6,ewha|kuvic|smic|star|voera|yig,2023-05-27|2021-05-14|2024-11-05|2023-12-28|2024-10-08|2024-10-11,103200.0|90900.0|73853.78|100500.0|96684.0|134400.0,2024-11-14,40800.0,8,-33.44,u_chandelier_ATR5.5
2024-09-12,41850.0,피에스케이홀딩스,031980,KR,5.0,1,star,2024-09-11,89300.0,2024-11-13,38050.0,62,-9.67,u_chandelier_ATR5.5
2024-09-27,38268.0,이수페타시스,007660,KR,5.0,3,ewha|smic|star,2022-11-05|2023-03-11|2024-09-26,7600.0|15600.0|51600.0,2024-11-06,31411.0,40,-18.45,u_chandelier_ATR5.5
2024-06-28,152662.0,셀트리온,068270,KR,5.0,3,kuvic|smic,2022-12-03|2024-06-27,222000.0|275200.0,2024-11-01,158712.0,126,3.29,u_chandelier_ATR5.5
2024-08-19,146300.0,삼성전기,009150,KR,5.0,3,ewha|star,2024-08-16|2022-04-09,207500.0,2024-10-17,124700.0,59,-15.32,u_chandelier_ATR5.5
2024-06-28,28100.0,한화솔루션,009830,KR,5.0,3,ewha|kuvic|smic,2020-11-28|2021-03-13|2024-06-27,60700.0|59700.0|49500.0,2024-10-14,23150.0,108,-18.15,u_chandelier_ATR5.5
2024-08-19,56500.0,한국공항,005430,KR,5.0,1,star,2024-08-16,94400.0,2024-09-12,48450.0,24,-14.8,u_chandelier_ATR5.5
2024-07-29,112500.0,티씨케이,064760,KR,5.0,4,ewha,2024-07-26,166600.0,2024-09-09,89400.0,42,-21.05,u_chandelier_ATR5.5
2024-05-08,4045.0,케이에스피,073010,KR,5.0,1,star,2024-05-07,5430.0,2024-09-05,3830.0,120,-5.93,u_chandelier_ATR5.5
2024-07-29,14070.0,동성화인텍,033500,KR,5.0,3,voera,2024-07-26,19730.0,2024-09-05,11580.0,38,-18.23,u_chandelier_ATR5.5
2024-07-05,198100.0,LIG디펜스앤에어로스페이스,079550,KR,5.0,2,star,2024-07-04,267000.0,2024-09-05,187900.0,62,-5.76,u_chandelier_ATR5.5
2024-08-05,12680.0,피엔에이치테크,239890,KR,5.0,1,star,2024-08-03,19590.0,2024-08-27,9280.0,22,-27.29,u_chandelier_ATR5.5
2024-07-22,9840.0,세경하이테크,148150,KR,5.0,2,ewha|smic,2021-10-16|2024-07-20,11679.76|12230.0,2024-08-06,6180.0,15,-37.6,u_chandelier_ATR5.5
2024-05-30,7090.0,세진중공업,075580,KR,5.0,3,ewha|smic|star,2020-06-06|2023-04-26|2024-05-29,7790.0|10820.0,2024-08-06,7510.0,68,5.24,u_chandelier_ATR5.5
2024-07-22,21250.0,지노믹트리,228760,KR,5.0,1,star,2024-07-20,29200.0,2024-08-06,15730.0,15,-26.46,u_chandelier_ATR5.5
2024-02-19,113700.0,코스맥스,192820,KR,5.0,4,ewha|smic,2023-11-29|2024-02-16,142000.0|167700.0,2024-08-05,140000.0,168,22.33,u_chandelier_ATR5.5
2024-05-03,33950.0,율촌화학,008730,KR,5.0,2,smic,2024-05-02,69000.0,2024-07-29,29900.0,87,-12.5,u_chandelier_ATR5.5
2024-04-15,236000.0,현대차,005380,KR,5.0,1,smic,2024-04-12,314900.0,2024-07-26,248500.0,102,4.61,u_chandelier_ATR5.5
2024-03-29,79600.0,세방전지,004490,KR,5.0,1,star,2024-03-28,106000.0,2024-07-09,90900.0,102,13.46,u_chandelier_ATR5.5
2024-03-12,53700.0,한국항공우주,047810,KR,5.0,4,kuvic|smic|star,2022-12-03|2023-11-19|2024-03-11,67000.0|69400.0|71500.0,2024-07-03,49150.0,113,-9.07,u_chandelier_ATR5.5
2024-01-08,32850.0,코미코,183300,KR,5.0,2,star,2024-01-06,75100.0,2024-07-03,39370.0,177,19.07,u_chandelier_ATR5.5
2024-04-15,46150.0,동진쎄미켐,005290,KR,5.0,2,kuvic|smic,2023-11-30|2024-04-12,62950.0|85300.0,2024-06-24,40250.0,70,-13.35,u_chandelier_ATR5.5
2024-04-08,7360.0,뉴프렉스,085670,KR,5.0,1,kuvic,2024-04-05,11469.0,2024-06-19,6580.0,72,-11.18,u_chandelier_ATR5.5
2024-02-29,124100.0,CJ대한통운,000120,KR,5.0,2,kuvic,2024-02-28,,2024-05-29,104200.0,90,-16.58,u_chandelier_ATR5.5
2023-09-15,22950.0,케이씨텍,281820,KR,5.0,1,yig,2023-09-14,27580.0,2024-04-23,35800.0,221,54.98,u_chandelier_ATR5.5
2023-09-18,12077.0,GST,083450,KR,5.0,1,yig,2023-09-15,43773.0,2024-04-17,22150.0,212,82.22,u_chandelier_ATR5.5
