매수일,매수가(시가),종목명,티커,시장,비중(%),커버학회수,트리거학회,리포트날짜들,목표가들,매도일,매도가,보유일수,수익률(%),매도사유
2025-04-07,7350.0,화승엔터프라이즈,241590,KR,5.0,1,kuvic,2024-11-11,13600.0,2025-08-04,7400.0,119,0.08,p_chandelier_ATR5.5
2025-03-07,50200.0,넥스틴,348210,KR,5.0,2,ewha|smic,2021-10-16|2025-01-24,72400.0|90750.0,2025-06-20,51900.0,105,2.77,p_chandelier_ATR5.5
2025-03-27,36100.0,씨에스윈드,112610,KR,5.0,6,ewha|kuvic|smic|star|voera|yig,2023-05-27|2021-05-14|2024-11-05|2023-12-28|2024-10-08|2024-10-11,103200.0|90900.0|73853.78|100500.0|96684.0|134400.0,2025-05-26,39650.0,60,9.18,p_chandelier_ATR5.5
2024-12-23,15750.0,한화솔루션,009830,KR,5.0,3,ewha|kuvic|smic,2020-11-28|2021-03-13|2024-06-27,60700.0|59700.0|49500.0,2025-05-26,28650.0,154,80.81,p_chandelier_ATR5.5
2025-02-11,4110.2203,삼영,003720,KR,5.0,3,ewha|kuvic|star,2023-09-23|2024-10-07|2024-11-22,7820.0|7900.0,2025-04-10,3800.0,58,-8.1,p_chandelier_ATR5.5
2025-01-21,27035.0,이수페타시스,007660,KR,5.0,3,ewha|smic|star,2022-11-05|2023-03-11|2024-09-26,7600.0|15600.0|51600.0,2025-04-08,30100.0,77,10.67,p_chandelier_ATR5.5
2024-10-28,24337.2408,덕산네오룩스,213420,KR,5.0,4,ewha|star|yig,2024-04-05|2023-05-04|2024-06-02,53200.0|65700.0|58500.0,2025-04-07,25100.0,161,2.52,p_chandelier_ATR5.5
2024-11-14,107100.0,삼성전기,009150,KR,5.0,3,ewha|star,2024-08-16|2022-04-09,207500.0,2025-04-04,117500.0,141,9.05,p_chandelier_ATR5.5
2024-07-26,6830.3257,세경하이테크,148150,KR,5.0,2,ewha|smic,2021-10-16|2024-07-20,11679.76|12230.0,2025-04-01,6850.0,249,-0.31,p_chandelier_ATR5.5
2024-11-25,36940.7723,HK이노엔,195940,KR,5.0,3,ewha|kuvic|star,2024-10-04|2023-09-25|2023-11-20,69200.0|63900.0|45000.0,2025-04-01,34900.0,127,-6.09,p_chandelier_ATR5.5
2024-11-15,46300.0,ISC,095340,KR,5.0,2,star|voera,2024-06-30|2023-05-22,114800.0|55000.0,2025-03-31,53500.0,136,14.86,p_chandelier_ATR5.5
2024-11-22,24209.0,비나텍,126340,KR,5.0,3,ewha|star,2024-06-01|2022-10-31,80200.0|65400.0,2025-03-27,23368.0,125,-4.05,p_chandelier_ATR5.5
