매수일,매수가(시가),매수사유,종목명,티커,시장,비중(%),커버학회수,트리거학회,리포트날짜들,목표가들,매도일,매도가,보유일수,수익률(%),매도사유
2022-05-13,3540.0,학회 매수리포트 발간 → 익일 시가 진입 (Kelly 사이징 25.0%) (트리거: smic 2022-05-12),벽산,007210,KR,5.0,1,smic,2022-05-12,5300.0,2022-06-17,2890.0,35,-18.85,r_chandelier_ATR5.0
2022-02-14,11300.0,학회 매수리포트 발간 → 익일 시가 진입 (Kelly 사이징 25.0%) (트리거: ewha 2022-02-12),파트론,091700,KR,5.0,2,ewha,2022-02-12,17100.0,2022-06-14,9990.0,120,-12.12,r_chandelier_ATR5.0
2021-11-04,11600.0,학회 매수리포트 발간 → 익일 시가 진입 (Kelly 사이징 25.0%) (트리거: smic 2021-11-03),주성엔지니어링,036930,KR,5.0,4,smic,2021-11-03,26700.0,2022-05-02,21050.0,179,80.38,r_chandelier_ATR5.0
2022-02-14,140000.0,"학회 매수리포트 발간 → 익일 시가 진입 (Kelly 사이징 25.0%) (트리거: ewha 2022-02-12, voera 2021-09-15)",SOOP,067160,KR,5.0,3,ewha|voera,2021-09-15|2022-02-12,185200.0|173000.0,2022-04-28,124100.0,73,-11.89,r_chandelier_ATR5.0
2022-02-14,41900.0,학회 매수리포트 발간 → 익일 시가 진입 (Kelly 사이징 25.0%) (트리거: ewha 2022-02-12),현대건설,000720,KR,5.0,2,ewha,2022-02-12,56200.0,2022-04-26,42700.0,71,1.3,r_chandelier_ATR5.0
2021-11-04,7741.0,학회 매수리포트 발간 → 익일 시가 진입 (Kelly 사이징 25.0%) (트리거: smic 2021-11-03),세경하이테크,148150,KR,5.0,2,smic,2021-11-03,10742.69,2022-02-14,7391.0,102,-5.09,r_chandelier_ATR5.0
2021-11-22,7520.0,학회 매수리포트 발간 → 익일 시가 진입 (Kelly 사이징 25.0%) (트리거: smic 2021-11-19),NPC,004250,KR,5.0,1,smic,2021-11-19,9290.0,2022-01-28,8040.0,67,6.27,r_chandelier_ATR5.0
2021-12-01,28.11,학회 매수리포트 발간 → 익일 시가 진입 (Kelly 사이징 25.0%) (트리거: smic 2021-11-30),CHGG,CHGG,US,5.0,1,smic,2021-11-30,43.5,2022-01-28,24.17,58,-14.53,r_chandelier_ATR5.0
2021-11-22,104900.0,학회 매수리포트 발간 → 익일 시가 진입 (Kelly 사이징 25.0%) (트리거: smic 2021-11-19),카카오게임즈,293490,KR,5.0,1,smic,2021-11-19,151300.0,2022-01-07,74600.0,46,-29.31,r_chandelier_ATR5.0
2021-09-13,18700.0,학회 매수리포트 발간 → 익일 시가 진입 (Kelly 사이징 25.0%) (트리거: ewha 2021-09-11),KG이니시스,035600,KR,5.0,1,ewha,2021-09-11,23945.0,2021-11-30,16750.0,78,-10.96,r_chandelier_ATR5.0
2021-08-23,64700.0,학회 매수리포트 발간 → 익일 시가 진입 (Kelly 사이징 25.0%) (트리거: ewha 2021-08-21),롯데정밀화학,004000,KR,5.0,1,ewha,2021-08-21,105575.0,2021-11-11,78400.0,80,20.45,r_chandelier_ATR5.0
2021-08-23,81055.0,학회 매수리포트 발간 → 익일 시가 진입 (Kelly 사이징 25.0%) (트리거: ewha 2021-08-21),OCI홀딩스,010060,KR,5.0,2,ewha,2021-08-21,113156.0,2021-11-01,104100.0,70,27.66,r_chandelier_ATR5.0
2021-09-29,156544.0,학회 매수리포트 발간 → 익일 시가 진입 (Kelly 사이징 25.0%) (트리거: ewha 2021-09-28),포스코퓨처엠,003670,KR,5.0,2,ewha,2021-09-28,192000.0,2021-10-29,141035.0,30,-10.45,r_chandelier_ATR5.0
2020-10-12,357400.0,학회 매수리포트 발간 → 익일 시가 진입 (Kelly 사이징 1.0%) (트리거: ewha 2020-10-10),오스템임플란트,048260,KR,5.0,2,ewha,2020-10-10,,2021-10-06,1105700.0,359,207.52,r_chandelier_ATR5.0
2021-08-18,1479245.0,학회 매수리포트 발간 → 익일 시가 진입 (Kelly 사이징 25.0%) (트리거: voera 2021-08-17),삼성바이오로직스,207940,KR,5.0,2,voera,2021-08-17,,2021-09-29,1242159.0,42,-16.53,r_chandelier_ATR5.0
