매수일,매수가(시가),종목명,티커,비중(%),커버학회수,트리거학회,리포트날짜들,목표가들(원),매도일,매도가,보유일수,수익률(%),매도사유
2023-09-11,88400.0,기가비스,420770,5.0,3,smic|star|yig,2023-05-19|2023-05-24|2023-09-08,84800|84000|129000,2024-09-11,32800.0,366,-63.12,12개월_만기
2023-06-26,26700.0,비에이치,090460,5.0,3,smic|star,2019-10-24|2023-06-24,45300|39000,2024-06-26,23650.0,366,-11.95,12개월_만기
2023-05-30,10000.0,HD현대인프라코어,042670,5.0,2,ewha|star,2023-05-24|2023-05-27,14900|15700,2024-05-28,8730.0,364,-13.22,12개월_만기
2023-05-30,77900.0,씨에스윈드,112610,5.0,6,ewha|kuvic|star|voera|yig,2023-05-27|2021-05-14|2022-05-18|2022-07-21|2022-11-24,103200|90900|79200|66210|113000,2024-05-28,53300.0,364,-31.99,12개월_만기
2023-05-22,15342.0,루닛,328130,5.0,2,smic,2023-05-19,27766,2024-05-22,25124.0,366,62.78,12개월_만기
2023-05-18,8530.0,제이앤티씨,204270,5.0,2,star,2023-05-17,12690,2024-05-20,18240.0,368,112.55,12개월_만기
2023-05-09,7080.0,테크윙,089030,5.0,2,ewha|star,2021-04-10|2023-05-08,32100|13085,2024-05-09,33300.0,366,367.52,12개월_만기
2023-03-16,11370.0,화신,010690,5.0,3,star,2023-03-15,17620,2024-03-18,11870.0,368,3.77,12개월_만기
2023-01-06,12900.0,한양디지텍,078350,5.0,2,star,2023-01-05,24100,2024-01-08,16440.0,367,26.68,12개월_만기
2023-01-03,137000.0,휴젤,145020,5.0,4,voera,2023-01-02,387000,2024-01-03,151200.0,365,9.7,12개월_만기
2022-12-22,169500.0,하이브,352820,5.0,5,smic|star,2021-11-06|2022-12-21,628000|223000,2023-12-22,232000.0,365,36.05,12개월_만기
2022-12-05,296000.0,POSCO홀딩스,005490,5.0,2,smic,2022-12-02,365000,2023-12-05,469500.0,365,57.66,12개월_만기
2022-11-28,213500.0,엘앤에프,066970,5.0,3,ewha,2022-11-25,261600,2023-11-28,143500.0,365,-33.19,12개월_만기
2022-11-18,13159.0,DN오토모티브,007340,5.0,2,star,2022-11-17,26826,2023-11-20,13939.0,367,5.29,12개월_만기
2022-11-10,7250.0,제이시스메디칼,287410,5.0,3,ewha|yig,2022-04-09|2022-11-09,12250|15100,2023-11-10,12410.0,365,70.15,12개월_만기
2022-10-07,15300.0,클래시스,214150,5.0,2,ewha,2022-10-06,47700,2023-10-10,33200.0,368,115.69,12개월_만기
2022-09-29,5750.0,아난티,025980,5.0,2,voera,2022-09-28,10630,2023-10-04,7220.0,370,24.81,12개월_만기
2022-09-21,10000.0,바디텍메드,206640,5.0,2,star,2022-09-20,33370,2023-09-21,18410.0,365,83.0,12개월_만기
2022-09-16,8960.0,코엔텍,029960,5.0,2,ewha|star,2021-09-30|2022-09-15,11320,2023-09-18,7120.0,367,-21.01,12개월_만기
2022-09-16,421500.0,HS효성첨단소재,298050,5.0,2,star,2022-09-15,616000,2023-09-18,449000.0,367,5.89,12개월_만기
2022-09-08,26500.0,SK오션플랜트,100090,5.0,3,ewha,2022-09-07,38850,2023-09-08,20350.0,365,-23.67,12개월_만기
2022-06-23,10420.0,LS ELECTRIC,010120,5.0,2,star,2022-06-22,13740,2023-06-23,14920.0,365,42.33,12개월_만기
2022-05-30,24909.0,JW중외제약,001060,5.0,2,ewha,2022-05-28,38300,2023-05-30,22950.0,365,-8.42,12개월_만기
2022-05-30,44000.0,HK이노엔,195940,5.0,3,ewha,2022-05-28,54312,2023-05-30,33500.0,365,-24.32,12개월_만기
2022-05-19,47300.0,씨에스윈드,112610,5.0,6,ewha|voera|yig,2020-08-22|2021-05-14|2022-05-18,107000|90900|79200,2023-05-19,77000.0,365,61.82,12개월_만기
2022-05-09,27050.0,인바디,041830,5.0,2,smic,2022-05-07,43000,2023-05-09,28750.0,365,5.65,12개월_만기
2022-05-09,4210.0,애니플러스,310200,5.0,3,smic,2022-05-07,5310,2023-05-09,4215.0,365,-0.48,12개월_만기
2022-03-14,49550.0,심텍,222800,5.0,2,ewha,2022-03-12,66900,2023-03-14,27600.0,365,-44.63,12개월_만기
2021-12-06,110500.0,세아제강지주,003030,5.0,2,smic,2021-12-04,154000,2022-12-06,165500.0,365,48.88,12개월_만기
2021-12-06,77156.0,인텔리안테크,189300,5.0,5,ewha|smic,2020-09-12|2021-12-04,38850|122000,2022-12-06,69702.0,365,-10.2,12개월_만기
