source_file,school,report_type,era,report_date,filename_date,market,company,ticker,exchange,rating,rating_class,display_name,target_price,target_price_raw,report_current_price,report_current_price_raw,stated_upside_pct,first_trade_date,start_close,latest_trade_date,latest_close,return_latest_pct,direction_latest,return_30d_pct,return_90d_pct,return_180d_pct,return_365d_pct,return_ytd_pct,benchmark_return_pct,alpha_latest_pct,max_high_until_latest,max_high_return_pct,target_hit_until_latest,first_target_hit_date,days_to_target,age_days,maturity,data_issue,parse_issue,qa_flags,source_md_url,source_pdf_url
"data\markdown\voera\undated_[BUY] 하이브, High View!.md",voera,company,archive,2005-02-01,,KR,하이브,352820,KRX,Buy,buy,하이브,381500.0,"381,500원",,,,2020-10-15,255420.0,2026-06-10,205000.0,-19.740036,down,,,,,-37.878788,227.409252,-247.149288,421500.0,65.022316,True,2021-11-05,6121,7799,veteran,,,ocr_fallback,,
"data\markdown\smic\2013-09-18_Equity Research, 한국코트렐.md",smic,company,archive,2007-04-06,2013-09-18,KR,한국코트렐,009440,KRX,Hold,soft_buy,한국코트렐,6500.0,"6,500",,,,2014-03-18,12100.0,2026-06-10,756.0,-93.752066,down,,,,,0.0,298.452745,-392.204811,13550.0,11.983471,True,2014-03-18,2538,7005,veteran,,,,,
data\markdown\smic\2013-09-18_smic-4657.md,smic,company,archive,2007-04-06,2013-09-18,KR,코텍,012345,KRX,Hold,soft_buy,코텍,7383.0,"7,383",,,,,,,,,,,,,,,,,,,,,,7005,veteran,missing_market_prices,,,,
"data\markdown\smic\2013-09-18_Equity Research, 풍산.md",smic,company,archive,2007-04-07,2013-09-18,KR,풍산,005810,KRX,Buy,buy,풍산,41388.0,"41,388",,,,2014-03-18,14010.0,2026-06-10,35650.0,154.461099,up,,,,,-4.933333,298.452745,-143.991646,60900.0,334.689507,True,2025-06-11,6640,7004,veteran,,,,,
data\markdown\smic\2013-09-18_smic-4654.md,smic,company,archive,2007-04-07,2013-09-18,KR,강원랜드,012345,KRX,Buy,buy,강원랜드,22680.0,"22,680",,,,,,,,,,,,,,,,,,,,,,7004,veteran,missing_market_prices,,,,
data\markdown\smic\2013-09-18_smic-4647.md,smic,company,archive,2007-04-07,2013-09-18,KR,새론오토모티브,075189,KRX,Buy,buy,새론오토모티브,8584.0,"8,584",,,,,,,,,,,,,,,,,,,,,,7004,veteran,missing_market_prices,,,,
"data\markdown\smic\2013-09-18_Equity Research, 현진소재.md",smic,company,archive,2007-04-13,2013-09-18,KR,현진소재,053660,KRX,Buy,buy,현진소재,33352.0,"33,352",,,,2010-02-26,92145.0,2022-04-25,7.0,-99.992403,down,,,,,0.0,66.635101,-166.627505,107334.0,16.483803,True,2010-02-26,1050,6998,veteran,,,,,
"data\markdown\smic\2013-09-18_Equity Research, GST.md",smic,company,archive,2007-04-13,2013-09-18,KR,GST,083450,KRX,Buy,buy,GST,9487.7,"9,487.7",,,,2014-03-18,2265.0,2026-06-10,57600.0,2443.046358,up,,,,,99.65338,298.452745,2144.593613,70800.0,3025.827815,True,2020-05-20,4786,6998,veteran,,,,,
"data\markdown\smic\2013-09-18_Equity Research, 유니드.md",smic,company,archive,2007-04-14,2013-09-18,KR,유니드,012345,KRX,Buy,buy,유니드,36800.0,"34,000  ~39,600",,,,,,,,,,,,,,,,,,,,,,6997,veteran,missing_market_prices,,,,
"data\markdown\smic\2013-09-18_Equity Research, 동아에스텍.md",smic,company,archive,2007-04-14,2013-09-18,KR,동아에스텍,058730,KRX,Buy,buy,동아에스텍,6129.0,"6,129",,,,2014-03-18,3876.0,2026-06-10,2580.0,-33.436533,down,,,,,-22.869955,298.452745,-331.889277,14600.0,276.676987,True,2014-07-28,2662,6997,veteran,,,,,
"data\markdown\smic\2013-09-18_Equity Research, 대원제약.md",smic,company,archive,2007-04-20,2013-09-18,KR,대원제약,003220,KRX,Buy,buy,대원제약,20812.0,"20,812",,,,2014-03-18,9496.0,2026-06-10,9780.0,2.990733,up,,,,,-18.158996,298.452745,-295.462012,30105.0,217.028222,True,2015-06-30,2993,6991,veteran,,,,,
"data\markdown\smic\2013-09-18_Equity Research, YUYU.md",smic,company,archive,2007-04-27,2013-09-18,KR,YUYU,000220,KRX,Buy,buy,YUYU,25000.0,"25,000",,,,2014-03-18,3628.0,2026-06-10,3845.0,5.981257,up,,,,,-14.839424,298.452745,-292.471488,18950.0,422.326351,False,,,6984,veteran,,,,,
"data\markdown\smic\2013-09-18_Equity Research, 이수유비케어.md",smic,company,archive,2007-04-27,2013-09-18,KR,이수유비케어,032620,KRX,Buy,buy,이수유비케어,3352.57,2176.85~ 4528.29,,,,2014-03-18,3160.0,2026-06-10,3050.0,-3.481013,down,,,,,-16.438356,298.452745,-301.933757,14900.0,371.518987,True,2014-03-21,2520,6984,veteran,,,,,
"data\markdown\smic\2013-09-18_Equity Research, 사이버패스.md",smic,company,archive,2007-04-27,2013-09-18,KR,사이버패스,063280,KRX,Buy,buy,사이버패스,10700.0,"10,700",6900.0,,55.0725,2007-04-27,6900.0,2009-07-07,15.0,-99.782609,down,2.173913,25.217391,8.695652,-23.043478,0.0,-7.022275,-92.760333,9600.0,39.130435,False,,,6984,veteran,,,,,
"data\markdown\smic\2013-09-18_Equity Research, 씨디네트웍스.md",smic,company,archive,2007-04-27,2013-09-18,KR,씨디네트웍스,073710,KRX,Hold,soft_buy,씨디네트웍스,28140.0,"28,140",21650.0,,29.9769,2007-04-27,21650.0,2009-09-22,10000.0,-53.810624,down,13.163972,-6.928406,-22.401848,-33.025404,0.0,11.433239,-65.243863,27000.0,24.711316,False,,,6984,veteran,,,,,
"data\markdown\smic\2013-09-18_Equity Research, 바텍.md",smic,company,archive,2007-05-04,2013-09-18,KR,VATECH,043150,KRX,Buy,buy,VATECH,14148.0,"14,148",,,,2014-03-18,14300.0,2026-06-10,18620.0,30.20979,up,,,,,-4.757033,298.452745,-268.242955,50700.0,254.545455,True,2014-03-18,2510,6977,veteran,,,,,
"data\markdown\smic\2013-09-18_Industry Report, IPTV.md",smic,company,archive,2007-05-04,2013-09-18,KR,전세계 IPTV 가입자 전망,120000,KRX,,soft_buy,전세계 IPTV 가입자 전망,,,,,,,,,,,,,,,,,,,,,,,,6977,veteran,missing_market_prices,,,,
"data\markdown\smic\2013-09-18_Equity Research, 하이트맥주우.md",smic,company,archive,2007-05-05,2013-09-18,KR,하이트맥주우,000145,KRX,Buy,buy,하이트맥주우,91795.0,"91,795",,,,2014-03-18,9050.0,2026-06-10,9610.0,6.187845,up,,,,,-25.503876,298.452745,-292.2649,42850.0,373.480663,False,,,6976,veteran,,,,,
data\markdown\smic\2013-09-18_smic-4694.md,smic,company,archive,2007-05-05,2013-09-18,KR,오뚜기,007310,KRX,Hold,soft_buy,오뚜기,121720.0,"121,720",,,,2014-03-18,385500.0,2026-06-10,316500.0,-17.898833,down,,,,,-17.792208,298.452745,-316.351577,1466000.0,280.285344,True,2014-03-18,2509,6976,veteran,,,,,
"data\markdown\smic\2013-09-18_Equity Research, 성신양회.md",smic,company,archive,2007-05-11,2013-09-18,KR,성신양회,004980,KRX,,soft_buy,성신양회,16150.0,"16,150",,,,2014-03-18,11550.0,2026-06-10,8020.0,-30.562771,down,,,,,-15.578947,298.452745,-329.015515,21350.0,84.848485,True,2015-06-17,2959,6970,veteran,,,,,
"data\markdown\smic\2013-09-18_Equity Research, 대림제지.md",smic,company,archive,2007-05-11,2013-09-18,KR,대림제지,017650,KRX,Hold,soft_buy,대림제지,3613.0,"3,613",,,,2014-03-18,3920.0,2026-06-10,8820.0,125.0,up,,,,,9.023486,298.452745,-173.452745,16500.0,320.918367,True,2014-03-18,2503,6970,veteran,,,,,
"data\markdown\smic\2013-09-18_Equity Research, 레인콤.md",smic,company,archive,2007-05-11,2013-09-18,KR,레인콤,063280,KRX,Buy,buy,레인콤,,,6900.0,,,2007-05-11,6900.0,2009-07-07,15.0,-99.782609,down,0.144928,27.536232,-10.869565,-25.217391,0.0,-10.561501,-89.221108,9600.0,39.130435,,,,6970,veteran,,missing_target_price,target_price_suspect,,
"data\markdown\smic\2013-09-18_Equity Research, YBM시사닷컴.md",smic,company,archive,2007-05-25,2013-09-18,KR,YBM시사닷컴,057030,KRX,Buy,buy,YBM시사닷컴,24950.0,"24,950",,,,2014-03-18,4025.0,2026-06-10,2115.0,-47.453416,down,,,,,-30.769231,298.452745,-345.906161,14800.0,267.701863,False,,,6956,veteran,,,,,
"data\markdown\smic\2013-09-18_Equity Research, CJ CGV.md",smic,company,archive,2007-05-25,2013-09-18,KR,CJ CGV,079160,KRX,Buy,buy,CJ CGV,16100.0,"16,100",,,,2014-03-18,35111.0,2026-06-10,4425.0,-87.397112,down,,,,,-25.630252,298.452745,-385.849857,89679.0,155.415682,True,2014-03-18,2489,6956,veteran,,,,,
"data\markdown\smic\2013-09-18_Equity Research, 국민은행.md",smic,company,archive,2007-05-26,2013-09-18,KR,국민은행,060000,KRX,Buy,buy,국민은행,,,82900.0,,,2007-05-28,83200.0,2008-10-09,54500.0,-34.495192,down,0.120192,-10.697115,-25.0,-22.355769,0.0,-21.896243,-12.598949,91800.0,10.336538,,,,6955,veteran,,missing_target_price,,,
"data\markdown\smic\2013-09-18_Equity Research, 케이프.md",smic,company,archive,2007-05-26,2013-09-18,KR,케이프,064820,KRX,Buy,buy,케이프,54553.0,"54,553",,,,2014-03-18,2079.0,2026-06-10,10050.0,383.405483,up,,,,,1.005025,298.452745,84.952739,17500.0,741.750842,False,,,6955,veteran,,,,,
"data\markdown\smic\2013-09-18_Equity Research, 아비스타.md",smic,company,archive,2007-05-26,2013-09-18,KR,아비스타,090370,KRX,Buy,buy,아비스타,,,,,,2014-03-18,157100.0,2026-06-10,1083.0,-99.31063,down,,,,,-34.164134,298.452745,-397.763375,181065.0,15.254615,,,,6955,veteran,,missing_target_price,,,
"data\markdown\smic\2013-09-18_Equity Research, 켐트로닉스.md",smic,company,archive,2007-10-05,2013-09-18,KR,켐트로닉스,089010,KRX,Buy,buy,켐트로닉스,31563.0,"31,563",,,,2014-03-18,13171.0,2026-06-10,27800.0,111.069775,up,,,,,-9.150327,298.452745,-187.38297,48900.0,271.270215,True,2021-01-28,4864,6823,veteran,,,,,
"data\markdown\smic\2013-09-18_Equity Research, 성광벤드.md",smic,company,archive,2007-10-06,2013-09-18,KR,성광벤드,014620,KRX,Buy,buy,성광벤드,103300.0,"103,300",,,,2014-03-18,23200.0,2026-06-10,28900.0,24.568966,up,,,,,12.23301,298.452745,-273.883779,53300.0,129.741379,False,,,6822,veteran,,,,,
data\markdown\smic\2013-09-18_smic-4771.md,smic,company,archive,2007-10-06,2013-09-18,KR,아이디스,054800,KRX,Buy,buy,아이디스,24243.0,"24,243",,,,2014-03-18,15150.0,2026-06-10,14150.0,-6.60066,down,,,,,18.907563,298.452745,-305.053405,20000.0,32.013201,False,,,6822,veteran,,,,,
"data\markdown\smic\2013-09-18_Equity Research, Exxon Mobil.md",smic,company,archive,2007-10-06,2013-09-18,US,Exxon Mobil,XOM,US,Buy,buy,XOM,121.1,$121.1,47.146061,,156.8613,2007-10-08,46.795147,2026-06-09,148.910004,218.216767,up,-3.330405,1.938662,-1.901962,-12.511124,25.411338,376.995079,-158.778312,175.220694,274.44202,True,2026-01-05,6666,6822,veteran,,,,,
"data\markdown\smic\2013-09-18_Equity Research, 에스디.md",smic,company,archive,2007-10-12,2013-09-18,KR,에스디,066930,KRX,Buy,buy,에스디,21093.0,"21,093",15100.0,,39.6887,2007-10-12,15100.0,2010-06-28,40000.0,164.900662,up,11.92053,1.324503,12.582781,-43.708609,0.0,-14.528434,179.429096,44750.0,196.357616,True,2009-04-13,549,6816,veteran,,,,,
"data\markdown\smic\2013-09-18_Equity Research, NOKIA.md",smic,company,archive,2007-10-15,2013-09-18,US,NOKIA,NOK,NYSE,Neutral,soft_buy,NOK,,,20.254803,,,2007-10-15,20.254803,2026-06-09,13.85,-31.621154,down,5.598224,-7.189894,-10.976943,-51.041043,114.064928,378.187018,-409.808172,23.467553,15.861669,,,,6813,veteran,,,,,
"data\markdown\smic\2013-09-18_Equity Research, 와토스코리아.md",smic,company,archive,2007-10-19,2013-09-18,KR,와토스코리아,012345,KRX,Buy,buy,와토스코리아,10444.0,"10,444",,,,,,,,,,,,,,,,,,,,,,6809,veteran,missing_market_prices,,,,
data\markdown\smic\2013-09-18_smic-4788.md,smic,company,archive,2007-11-02,2013-09-18,KR,하나투어,039130,KRX,Buy,buy,하나투어,91900.0,"91,900",,,,2014-03-18,71505.0,2026-06-10,34250.0,-52.101252,down,,,,,-29.74359,298.452745,-350.553996,200252.0,180.053143,True,2015-02-03,2650,6795,veteran,,,,,
"data\markdown\smic\2013-09-18_Equity Research, 두산인프라코어.md",smic,company,archive,2007-11-02,2013-09-18,KR,두산인프라코어,042670,KRX,Buy,buy,두산인프라코어,38700.0,"38,700",,,,2013-11-05,11214.0,2026-01-23,13800.0,23.06046,up,,,,,0.0,147.777728,-124.717268,18300.0,63.188871,False,,,6795,veteran,,,,,
"data\markdown\smic\2013-09-18_Equity Research, CJ인터넷.md",smic,company,archive,2007-11-03,2013-09-18,KR,CJ인터넷,037150,KRX,Buy,buy,CJ인터넷,23435.0,"20,389~26,481",17950.0,,30.5571,2007-11-05,18000.0,2011-03-21,22050.0,22.5,up,-15.277778,-15.0,-8.611111,-54.888889,0.0,-0.612176,23.112176,22500.0,25.0,False,,,6794,veteran,,,,,
